bgc,ss_nospace,sppsplit,suitability,spp,newsuit,mod,outrange,Zone,Note
BAFAunp,BAFAunp/00,Bl,1,Bl,,,FALSE,BAFA,imputed
BAFAunp,BAFAunp/00,Hm,3,Hm,,,FALSE,BAFA,imputed
BAFAunp,BAFAunp/00,Pa,3,Pa,,,FALSE,BAFA,imputed
BGxh2,BGxh1/Fm01,Act,1,Ac,,,FALSE,BG,NA
BGxh2,BGxh1/Fm06,Act,1,Ac,,,FALSE,BG,NA
BGxh2,BGxh2/Fm01,Act,1,Ac,,,FALSE,BG,NA
BGxh2,BGxh2/Fm06,Act,1,Ac,,,FALSE,BG,NA
BGxh2,BGxh1/Fm01,At,2,At,,,FALSE,BG,NA
BGxh2,BGxh1/Fm06,At,2,At,,,FALSE,BG,NA
BGxh2,BGxh2/Fm01,At,2,At,,,FALSE,BG,NA
BGxh2,BGxh2/Fm06,At,2,At,,,FALSE,BG,NA
BGxh2,BGxh1/Fm01,Ep,2,Ep,,,FALSE,BG,NA
BGxh2,BGxh1/Fm06,Ep,2,Ep,,,FALSE,BG,NA
BGxh2,BGxh2/Fm01,Ep,2,Ep,,,FALSE,BG,NA
BGxh2,BGxh2/Fm06,Ep,2,Ep,,,FALSE,BG,NA
BGxh2,BGxh1/Fm01,Fdi,3,Fd,,,FALSE,BG,NA
BGxh2,BGxh1/Fm06,Fdi,3,Fd,,,FALSE,BG,NA
BGxh2,BGxh2/Fm01,Fdi,3,Fd,,,FALSE,BG,NA
BGxh2,BGxh2/Fm06,Fdi,3,Fd,,,FALSE,BG,NA
BGxh2,BGxh1/Fm01,Pyi,3,Py,,,FALSE,BG,NA
BGxh2,BGxh1/Fm06,Pyi,3,Py,,,FALSE,BG,NA
BGxh2,BGxh2/Fm01,Pyi,3,Py,,,FALSE,BG,NA
BGxh2,BGxh2/Fm06,Pyi,3,Py,,,FALSE,BG,NA
BGxw1,BGxw1/Fm01,Act,1,Ac,,,FALSE,BG,NA
BGxw1,BGxw1/Fm05,Act,1,Ac,,,FALSE,BG,NA
BGxw1,BGxw1/Fm01,At,2,At,,,FALSE,BG,NA
BGxw1,BGxw1/Fm05,At,2,At,,,FALSE,BG,NA
BGxw1,BGxw1/Fm01,Ep,2,Ep,,,FALSE,BG,NA
BGxw1,BGxw1/Fm05,Ep,2,Ep,,,FALSE,BG,NA
BGxw1,BGxw1/Fm01,Fdi,3,Fd,,,FALSE,BG,NA
BGxw1,BGxw1/Fm05,Fdi,3,Fd,,,FALSE,BG,NA
BGxw1,BGxw1/Fm01,Pyi,3,Py,,,FALSE,BG,NA
BGxw1,BGxw1/Fm05,Pyi,3,Py,,,FALSE,BG,NA
BWBSdk,BWBSdk/104,Ac,3,Ac,,,FALSE,BWBS,imputed
BWBSdk,BWBSdk/102,Sb,5,Sb,,,FALSE,BWBS,NA
BWBSmk,BWBSmk/111,Bl,4,Bl,,,FALSE,BWBS,imputed
BWBSmk,BWBSmk/104,Lt,2,Lt,,,FALSE,BWBS,NA
BWBSmk,BWBSmk/104a,Lt,2,Lt,,,FALSE,BWBS,NA
BWBSmk,BWBSmk/104b,Lt,2,Lt,,,FALSE,BWBS,NA
BWBSmk,BWBSmk/102,Sw,5,Sx,,,FALSE,BWBS,NA
BWBSmw,BWBSmw/104,Ac,3,Ac,,,FALSE,BWBS,imputed
BWBSmw,BWBSmw/103,Bl,3,Bl,,,FALSE,BWBS,imputed
BWBSmw,BWBSmw/104,Bl,3,Bl,,,FALSE,BWBS,imputed
BWBSmw,BWBSmw/111,Bl,3,Bl,,,FALSE,BWBS,imputed
BWBSmw,BWBSmw/103,Sb,2,Sb,,,FALSE,BWBS,imputed
BWBSmw,BWBSmw/110,Sb,5,Sb,,,FALSE,BWBS,NA
BWBSmw,BWBSmw/102,Sw,5,Sx,,,FALSE,BWBS,NA
BWBSvk,BWBSvk/h,Acb,1,Ac,,,FALSE,BWBS,NA
BWBSvk,BWBSvk/m,Acb,1,Ac,,,FALSE,BWBS,NA
BWBSvk,BWBSvk/x,At,3,At,,,FALSE,BWBS,NA
BWBSvk,BWBSvk/h,Bl,1,Bl,,,FALSE,BWBS,NA
BWBSvk,BWBSvk/m,Bl,1,Bl,,,FALSE,BWBS,NA
BWBSvk,BWBSvk/x,Bl,1,Bl,,,FALSE,BWBS,NA
BWBSvk,BWBSvk/m,Ep,2,Ep,,,FALSE,BWBS,NA
BWBSvk,BWBSvk/h,Sw,1,Sx,,,FALSE,BWBS,NA
BWBSvk,BWBSvk/m,Sw,1,Sx,,,FALSE,BWBS,NA
BWBSvk,BWBSvk/x,Sw,1,Sx,,,FALSE,BWBS,NA
BWBSwk1,BWBSwk1/101,Ac,2,Ac,,,FALSE,BWBS,imputed
BWBSwk1,BWBSwk1/110,Bl,2,Bl,,,FALSE,BWBS,imputed
BWBSwk1,BWBSwk1/111,Bl,1,Bl,,,FALSE,BWBS,imputed
BWBSwk1,BWBSwk1/101,Ep,3,Ep,,,FALSE,BWBS,imputed
BWBSwk1,BWBSwk1/111,Ep,2,Ep,,,FALSE,BWBS,imputed
BWBSwk1,BWBSwk1/111,Lt,2,Lt,,,FALSE,BWBS,NA
BWBSwk1,BWBSwk1/103,Sb,2,Sb,,,FALSE,BWBS,imputed
BWBSwk2,BWBSwk2/102,Bl,2,Bl,,,FALSE,BWBS,imputed
BWBSwk2,BWBSwk2/110,Bl,3,Bl,,,FALSE,BWBS,imputed
BWBSwk3,BWBSwk3/110,Lt,2,Lt,,,FALSE,BWBS,NA
BWBSwk3,BWBSwk3/111,Lt,2,Lt,,,FALSE,BWBS,NA
CDFmm,CDFmm/111,Bg,3,Bg,,,FALSE,CDF,imputed
CDFmm,CDFmm/Ws53,Fdi,3,Fd,,,FALSE,CDF,imputed
CDFmm,CDFmm/105,Hw,2,Hw,,,FALSE,CDF,imputed
CDFmm,CDFmm/112,Ss,3,Ss,,,FALSE,CDF,imputed
CDFmm,CDFmm/105,Tw,3,Tw,,,FALSE,CDF,imputed
CMAunp,CMAunp/00,Hm,2,Hm,,,FALSE,CMA,imputed
CMAunp,CMAunp/00,Hw,1,Hw,,,FALSE,CMA,imputed
CMAunp,CMAunp/00,Pa,3,Pa,,,FALSE,CMA,imputed
CWHdm2,CWHdm2/101,Ba,2,Ba,,,FALSE,CWH,imputed
CWHdm2,CWHdm2/112.1,Ba,3,Ba,,,FALSE,CWH,imputed
CWHdm2,CWHdm2/111,Ba,2,Ba,,,FALSE,CWH,imputed
CWHdm2,CWHdm2/104,Ba,3,Ba,,,FALSE,CWH,imputed
CWHdm2,CWHdm2/103,Cw,3,Cw,,,FALSE,CWH,imputed
CWHdm2,CWHdm2/102,Cw,3,Cw,,,FALSE,CWH,imputed
CWHdm2,CWHdm2/112.1,Ss,3,Ss,,,FALSE,CWH,imputed
CWHdm2,CWHdm2/110,Ss,2,Ss,,,FALSE,CWH,imputed
CWHdm2,CWHdm2/112.2,Ss,1,Ss,,,FALSE,CWH,imputed
CWHdm2,CWHdm2/111,Ss,3,Ss,,,FALSE,CWH,imputed
CWHdm2,CWHdm2/101,Tw,4,Tw,,,FALSE,CWH,imputed
CWHdm3,CWHdm3/112,Ba,2,Ba,,,FALSE,CWH,imputed
CWHdm3,CWHdm3/101,Ba,2,Ba,,,FALSE,CWH,imputed
CWHdm3,CWHdm3/110,Ba,3,Ba,,,FALSE,CWH,imputed
CWHdm3,CWHdm3/104,Ba,2,Ba,,,FALSE,CWH,imputed
CWHdm3,CWHdm3/110,Ss,3,Ss,,,FALSE,CWH,imputed
CWHds1,CWHds1/101,Ba,2,Ba,,,FALSE,CWH,imputed
CWHds1,CWHds1/101a,Ba,2,Ba,,,FALSE,CWH,imputed
CWHds1,CWHds1/101,Bl,2,Bl,,,FALSE,CWH,imputed
CWHds1,CWHds1/101a,Bl,2,Bl,,,FALSE,CWH,imputed
CWHds1,CWHds1/101,Hm,3,Hm,,,FALSE,CWH,imputed
CWHds1,CWHds1/101a,Hm,3,Hm,,,FALSE,CWH,imputed
CWHds1,CWHds1/101,Mv,3,Mv,,,FALSE,CWH,imputed
CWHds1,CWHds1/101a,Mv,3,Mv,,,FALSE,CWH,imputed
CWHds1,CWHds1/110,Mv,2,Mv,,,FALSE,CWH,imputed
CWHds1,CWHds1/104,Mv,1,Mv,,,FALSE,CWH,imputed
CWHds1,CWHds1/101,Ss,3,Ss,,,FALSE,CWH,imputed
CWHds1,CWHds1/101a,Ss,3,Ss,,,FALSE,CWH,imputed
CWHds1,CWHds1/101b,Tw,3,Tw,,,FALSE,CWH,imputed
CWHds1,CWHds1/110,Tw,3,Tw,,,FALSE,CWH,imputed
CWHds1,CWHds1/104,Tw,3,Tw,,,FALSE,CWH,imputed
CWHds1,CWHds1/101,Yc,2,Yc,,,FALSE,CWH,imputed
CWHds1,CWHds1/101a,Yc,2,Yc,,,FALSE,CWH,imputed
CWHds2,CWHds2/101,Ba,2,Ba,,,FALSE,CWH,imputed
CWHmm1,CWHmm1/110,Bg,3,Bg,,,FALSE,CWH,imputed
CWHmm1,CWHmm1/103,Tw,4,Tw,,,FALSE,CWH,imputed
CWHmm1,CWHmm1/101,Yc,3,Yc,,,FALSE,CWH,imputed
CWHmm1,CWHmm1/103,Yc,3,Yc,,,FALSE,CWH,imputed
CWHms3,CWHms3/103,Bl,2,Bl,,,FALSE,CWH,imputed
CWHms3,CWHms3/101,Bl,2,Bl,,,FALSE,CWH,imputed
CWHms3,CWHms3/104,Bl,4,Bl,,,FALSE,CWH,imputed
CWHms3,CWHms3/112,Hm,3,Hm,,,FALSE,CWH,imputed
CWHms3,CWHms3/104,Hm,4,Hm,,,FALSE,CWH,imputed
CWHms3,CWHms3/103,Mv,4,Mv,,,FALSE,CWH,imputed
CWHms3,CWHms3/101,Pw,3,Pw,,,FALSE,CWH,imputed
CWHms3,CWHms3/104,Sx,4,Sx,,,FALSE,CWH,imputed
CWHms3,CWHms3/104,Tw,3,Tw,,,FALSE,CWH,imputed
CWHms3,CWHms3/103,Yc,3,Yc,,,FALSE,CWH,imputed
CWHms4,CWHms4/104,Ba,3,Ba,,,FALSE,CWH,imputed
CWHms4,CWHms4/105,Bl,3,Bl,,,FALSE,CWH,imputed
CWHms4,CWHms4/112,Hm,2,Hm,,,FALSE,CWH,imputed
CWHms4,CWHms4/104,Hm,3,Hm,,,FALSE,CWH,imputed
CWHms4,CWHms4/101,Mv,2,Mv,,,FALSE,CWH,imputed
CWHms4,CWHms4/110,Mv,2,Mv,,,FALSE,CWH,imputed
CWHms4,CWHms4/104,Mv,3,Mv,,,FALSE,CWH,imputed
CWHms4,CWHms4/103,Mv,4,Mv,,,FALSE,CWH,imputed
CWHms4,CWHms4/104,Plc,2,Pl,,,FALSE,CWH,imputed
CWHms4,CWHms4/110,Tw,3,Tw,,,FALSE,CWH,imputed
CWHms4,CWHms4/105,Yc,2,Yc,,,FALSE,CWH,imputed
CWHms5,CWHms5/103.2,Bg,3,Bg,,,FALSE,CWH,imputed
CWHms5,CWHms5/103.1,Bg,2,Bg,,,FALSE,CWH,imputed
CWHms5,CWHms5/110,Bl,2,Bl,,,FALSE,CWH,imputed
CWHms5,CWHms5/103.1,Hm,2,Hm,,,FALSE,CWH,imputed
CWHms5,CWHms5/112,Hm,3,Hm,,,FALSE,CWH,imputed
CWHms5,CWHms5/101.1,Mv,3,Mv,,,FALSE,CWH,imputed
CWHms5,CWHms5/103.2,Mv,3,Mv,,,FALSE,CWH,imputed
CWHms5,CWHms5/101,Mv,1,Mv,,,FALSE,CWH,imputed
CWHms5,CWHms5/101.2,Mv,1,Mv,,,FALSE,CWH,imputed
CWHms5,CWHms5/110,Mv,3,Mv,,,FALSE,CWH,imputed
CWHms5,CWHms5/103.1,Mv,2,Mv,,,FALSE,CWH,imputed
CWHms5,CWHms5/101.2,Plc,3,Pl,,,FALSE,CWH,imputed
CWHms5,CWHms5/101.2,Ss,3,Ss,,,FALSE,CWH,imputed
CWHms5,CWHms5/102,Sx,4,Sx,,,FALSE,CWH,imputed
CWHms5,CWHms5/103.1,Tw,3,Tw,,,FALSE,CWH,imputed
CWHms5,CWHms5/101.2,Yc,2,Yc,,,FALSE,CWH,imputed
CWHms5,CWHms5/103,Yc,3,Yc,,,FALSE,CWH,imputed
CWHms5,CWHms5/103.1,Yc,3,Yc,,,FALSE,CWH,imputed
CWHms5,CWHms5/103.2,Yc,3,Yc,,,FALSE,CWH,imputed
CWHvh1,CWHvh1/103,Fdc,3,Fd,,,FALSE,CWH,imputed
CWHvh1,CWHvh1/102,Tw,4,Tw,,,FALSE,CWH,imputed
CWHvh1,CWHvh1/112,Tw,3,Tw,,,FALSE,CWH,imputed
CWHvh1,CWHvh1/103,Tw,3,Tw,,,FALSE,CWH,imputed
CWHvh1,CWHvh1/101,Tw,3,Tw,,,FALSE,CWH,imputed
CWHvh1,CWHvh1/Ws54,Tw,4,Tw,,,FALSE,CWH,imputed
CWHvh1,CWHvh1/Ws56,Tw,4,Tw,,,FALSE,CWH,imputed
CWHvh2,CWHvh2/113,Ba,3,Ba,,,FALSE,CWH,imputed
CWHvh2,CWHvh2/104,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvh2,CWHvh2/105,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvh2,CWHvh2/103,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvh2,CWHvh2/112,Hm,3,Hm,,,FALSE,CWH,imputed
CWHvh2,CWHvh2/110,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvh2,CWHvh2/102,Hm,3,Hm,,,FALSE,CWH,imputed
CWHvh2,CWHvh2/Wb53,Hm,3,Hm,,,FALSE,CWH,imputed
CWHvh2,CWHvh2/101,Tw,3,Tw,,,FALSE,CWH,imputed
CWHvh2,CWHvh2/113,Tw,4,Tw,,,FALSE,CWH,imputed
CWHvh2,CWHvh2/110,Tw,4,Tw,,,FALSE,CWH,imputed
CWHvh2,CWHvh2/112,Yc,1,Yc,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/101,Ba,2,Ba,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/110,Ba,1,Ba,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/114,Ba,2,Ba,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/105,Ba,2,Ba,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/103.2,Dr,3,Dr,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/106,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/112,Hm,3,Hm,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/117,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/115,Hm,3,Hm,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/105,Hm,3,Hm,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/110,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/Wb53,Hm,3,Hm,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/Wb53,Hw,3,Hw,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/103.1,Hw,1,Hw,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/103.2,Ss,1,Ss,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/103.1,Ss,2,Ss,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/101a,Tw,3,Tw,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/115,Tw,3,Tw,,,FALSE,CWH,imputed
CWHvh3,CWHvh3/112,Yc,1,Yc,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/113,Ba,3,Ba,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/102,Ba,3,Ba,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/Wb51,Ba,2,Ba,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/Wb55,Ba,2,Ba,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/Fl51,Cw,2,Cw,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/110,Ep,2,Ep,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/112.2,Fdc,3,Fd,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/103,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/101,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/111,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/111.2,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/112,Hm,3,Hm,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/112.2,Hm,3,Hm,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/112.1,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/110,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/105,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/102,Hm,3,Hm,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/111.1,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/Fl51,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/114,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/Fl51,Hw,1,Hw,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/110,Mv,3,Mv,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/101,Mv,3,Mv,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/Fl51,Plc,2,Pl,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/111.2,Pw,3,Pw,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/113,Pw,3,Pw,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/101,Pw,3,Pw,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/111,Pw,3,Pw,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/102,Pw,3,Pw,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/104,Pw,3,Pw,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/103,Tw,3,Tw,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/110,Tw,3,Tw,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/Fl51,Tw,3,Tw,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/113,Tw,4,Tw,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/103,Yc,2,Yc,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/101,Yc,2,Yc,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/Fl51,Yc,1,Yc,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/Ws54,Yc,2,Yc,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/Ws56,Yc,2,Yc,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/105,Yc,2,Yc,,,FALSE,CWH,imputed
CWHvm1,CWHvm1/114,Yc,2,Yc,,,FALSE,CWH,imputed
CWHvm2,CWHvm2/102,Ba,3,Ba,,,FALSE,CWH,imputed
CWHvm2,CWHvm2/101,Bl,3,Bl,,,FALSE,CWH,imputed
CWHvm2,CWHvm2/110,Bl,1,Bl,,,FALSE,CWH,imputed
CWHvm2,CWHvm2/112,Dr,2,Dr,,,FALSE,CWH,imputed
CWHvm2,CWHvm2/112.2,Dr,2,Dr,,,FALSE,CWH,imputed
CWHvm2,CWHvm2/110,Dr,4,Dr,,,FALSE,CWH,imputed
CWHvm2,CWHvm2/111.1,Pw,2,Pw,,,FALSE,CWH,imputed
CWHvm2,CWHvm2/102,Pw,3,Pw,,,FALSE,CWH,imputed
CWHvm2,CWHvm2/115,Ss,1,Ss,,,FALSE,CWH,imputed
CWHvm2,CWHvm2/111.1,Tw,3,Tw,,,FALSE,CWH,imputed
CWHvm2,CWHvm2/101,Tw,3,Tw,,,FALSE,CWH,imputed
CWHvm2,CWHvm2/112.1,Tw,4,Tw,,,FALSE,CWH,imputed
CWHvm2,CWHvm2/105,Tw,3,Tw,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/Ws56,Ba,2,Ba,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/Wb51,Ba,2,Ba,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/Wb53,Ba,2,Ba,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/113,Ba,3,Ba,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/Fl51,Cw,2,Cw,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/110,Ep,2,Ep,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/101,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/111,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/111.2,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/112,Hm,3,Hm,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/112.2,Hm,3,Hm,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/112.1,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/110,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/103,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/104,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/111.1,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/102,Hm,3,Hm,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/Fl51,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/114,Hm,2,Hm,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/Fl51,Hw,1,Hw,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/Fl51,Plc,2,Pl,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/101,Pw,3,Pw,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/111,Pw,3,Pw,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/111.2,Pw,3,Pw,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/Fl51,Tw,3,Tw,,,FALSE,CWH,imputed
CWHvm3,CWHvm3/110,Tw,4,Tw,,,FALSE,CWH,imputed
