bgc,ss_nospace,spp,newsuit,mod,outrange
BGxh1,BGxh1/102,Py,3,MR,FALSE
BGxh1,BGxh1/102,Fd,5,MR,FALSE
BGxh1,BGxh1/103,Py,2,MR,FALSE
BGxh1,BGxh1/103,Fd,3,MR,FALSE
BGxh1,BGxh1/110,Py,2,MR,FALSE
BGxh1,BGxh1/110,Fd,3,MR,FALSE
BGxh2,BGxh2/102,Py,2,MR,FALSE
BGxh2,BGxh2/102,Fd,3,MR,FALSE
BGxh2,BGxh2/110,Fd,2,MR,FALSE
BGxh2,BGxh2/110,Py,3,MR,FALSE
BGxw1,BGxw1/102,Py,3,MR,FALSE
BGxw1,BGxw1/102,Fd,4,MR,FALSE
BGxw1,BGxw1/110,Py,2,MR,FALSE
BGxw1,BGxw1/110,Fd,2,MR,FALSE
BGxw1,BGxw1/111,Fd,2,MR,FALSE
BGxw1,BGxw1/111,Py,3,MR,FALSE
ESSFdc2,ESSFdc2/101,Se,1,MR,FALSE
ESSFdc2,ESSFdc2/101,Bl,1,MR,FALSE
ESSFdc2,ESSFdc2/101,Pl,2,MR,FALSE
ESSFdc2,ESSFdc2/102,Pl,3,MR,FALSE
ESSFdc2,ESSFdc2/102,Pa,3,MR,FALSE
ESSFdc2,ESSFdc2/102,Bl,3,MR,FALSE
ESSFdc2,ESSFdc2/102,Se,3,MR,FALSE
ESSFdc2,ESSFdc2/102,Fd,3,MR,FALSE
ESSFdc2,ESSFdc2/103,Pl,1,MR,FALSE
ESSFdc2,ESSFdc2/103,Fd,2,MR,FALSE
ESSFdc2,ESSFdc2/103,Bl,2,MR,FALSE
ESSFdc2,ESSFdc2/103,Se,2,MR,FALSE
ESSFdc2,ESSFdc2/104,Pl,1,MR,FALSE
ESSFdc2,ESSFdc2/104,Bl,2,MR,FALSE
ESSFdc2,ESSFdc2/104,Se,2,MR,FALSE
ESSFdc2,ESSFdc2/110,Bl,1,MR,FALSE
ESSFdc2,ESSFdc2/110,Se,1,MR,FALSE
ESSFdc2,ESSFdc2/110,Pl,2,MR,FALSE
ESSFdc2,ESSFdc2/111,Bl,1,MR,FALSE
ESSFdc2,ESSFdc2/111,Se,1,MR,FALSE
ESSFdc2,ESSFdc2/111,Pl,2,MR,FALSE
ESSFdc2,ESSFdc2/112,Se,2,MR,FALSE
ESSFdc2,ESSFdc2/112,Bl,3,MR,FALSE
ESSFdh1,ESSFdh1/101,Bl,1,MR,FALSE
ESSFdh1,ESSFdh1/101,Sx,1,MR,FALSE
ESSFdh1,ESSFdh1/101,Pl,2,MR,FALSE
ESSFdh1,ESSFdh1/101,Ba,2,MR,FALSE
ESSFdh1,ESSFdh1/101,Pw,3,MR,FALSE
ESSFdh1,ESSFdh1/101,Cw,3,MR,FALSE
ESSFdh1,ESSFdh1/101,Hw,3,MR,FALSE
ESSFdh1,ESSFdh1/101,Fd,3,MR,FALSE
ESSFdh1,ESSFdh1/101,Lw,3,MR,TRUE
ESSFdh1,ESSFdh1/102,Fd,2,MR,FALSE
ESSFdh1,ESSFdh1/102,Pw,3,MR,FALSE
ESSFdh1,ESSFdh1/102,Pl,3,MR,FALSE
ESSFdh1,ESSFdh1/102,Sx,3,MR,FALSE
ESSFdh1,ESSFdh1/102,Bl,3,MR,FALSE
ESSFdh1,ESSFdh1/102,Pw,3,MR,FALSE
ESSFdh1,ESSFdh1/103,Pl,2,MR,FALSE
ESSFdh1,ESSFdh1/103,Fd,3,MR,FALSE
ESSFdh1,ESSFdh1/103,Bl,3,MR,FALSE
ESSFdh1,ESSFdh1/103,Pw,3,MR,FALSE
ESSFdh1,ESSFdh1/103,Sx,3,MR,FALSE
ESSFdh1,ESSFdh1/103,Lw,3,MR,TRUE
ESSFdh1,ESSFdh1/104,Fd,1,MR,FALSE
ESSFdh1,ESSFdh1/104,Pw,1,MR,FALSE
ESSFdh1,ESSFdh1/104,Bl,1,MR,FALSE
ESSFdh1,ESSFdh1/104,Pl,1,MR,FALSE
ESSFdh1,ESSFdh1/104,Sx,2,MR,FALSE
ESSFdh1,ESSFdh1/104,Ba,3,MR,FALSE
ESSFdh1,ESSFdh1/104,Cw,3,MR,FALSE
ESSFdh1,ESSFdh1/104,Hw,3,MR,FALSE
ESSFdh1,ESSFdh1/104,Lw,3,MR,TRUE
ESSFdh1,ESSFdh1/104,At,4,MR,FALSE
ESSFdh1,ESSFdh1/110,Sx,1,MR,FALSE
ESSFdh1,ESSFdh1/110,Bl,1,MR,FALSE
ESSFdh1,ESSFdh1/110,Ba,2,MR,FALSE
ESSFdh1,ESSFdh1/110,Cw,2,MR,FALSE
ESSFdh1,ESSFdh1/110,Hw,2,MR,FALSE
ESSFdh1,ESSFdh1/110,Fd,3,MR,FALSE
ESSFdh1,ESSFdh1/110,Pl,3,MR,FALSE
ESSFdh1,ESSFdh1/110,Lw,3,MR,TRUE
ESSFdh1,ESSFdh1/110,At,3,MR,FALSE
ESSFdh1,ESSFdh1/110,Ac,4,MR,FALSE
ESSFdh1,ESSFdh1/111,Sx,2,MR,FALSE
ESSFdh1,ESSFdh1/111,Bl,2,MR,FALSE
ESSFdh1,ESSFdh1/111,Pl,2,MR,FALSE
ESSFdh1,ESSFdh1/111,Hw,3,MR,FALSE
ESSFdh1,ESSFdh1/111,Cw,3,MR,FALSE
ESSFdh1,ESSFdh1/111,Ba,3,MR,FALSE
ESSFmw1,ESSFmw1/101,Se,1,MR,FALSE
ESSFmw1,ESSFmw1/101,Bl,1,MR,FALSE
ESSFmw1,ESSFmw1/101,Ba,1,MR,FALSE
ESSFmw1,ESSFmw1/101,Pl,2,MR,FALSE
ESSFmw1,ESSFmw1/101,Pw,2,MR,FALSE
ESSFmw1,ESSFmw1/101,Hm,3,MR,FALSE
ESSFmw1,ESSFmw1/101,Hw,3,MR,FALSE
ESSFmw1,ESSFmw1/101,Cw,3,MR,FALSE
ESSFmw1,ESSFmw1/101,Fd,3,MR,FALSE
ESSFmw1,ESSFmw1/102,Pl,2,MR,FALSE
ESSFmw1,ESSFmw1/102,Pa,3,MR,FALSE
ESSFmw1,ESSFmw1/102,Bl,3,MR,FALSE
ESSFmw1,ESSFmw1/102,Se,3,MR,FALSE
ESSFmw1,ESSFmw1/102,Fd,3,MR,FALSE
ESSFmw1,ESSFmw1/103,Pl,1,MR,FALSE
ESSFmw1,ESSFmw1/103,Se,1,MR,FALSE
ESSFmw1,ESSFmw1/103,Bl,1,MR,FALSE
ESSFmw1,ESSFmw1/103,Ba,3,MR,FALSE
ESSFmw1,ESSFmw1/103,Hw,3,MR,FALSE
ESSFmw1,ESSFmw1/103,Pa,3,MR,FALSE
ESSFmw1,ESSFmw1/103,Lw,3,MR,TRUE
ESSFmw1,ESSFmw1/103,Fd,3,MR,FALSE
ESSFmw1,ESSFmw1/104,Pl,1,MR,FALSE
ESSFmw1,ESSFmw1/104,Fd,2,MR,FALSE
ESSFmw1,ESSFmw1/104,Bl,2,MR,FALSE
ESSFmw1,ESSFmw1/104,Se,2,MR,FALSE
ESSFmw1,ESSFmw1/104,Lw,2,MR,TRUE
ESSFmw1,ESSFmw1/105,Se,1,MR,FALSE
ESSFmw1,ESSFmw1/105,Bl,1,MR,FALSE
ESSFmw1,ESSFmw1/105,Ba,1,MR,FALSE
ESSFmw1,ESSFmw1/105,Pl,2,MR,FALSE
ESSFmw1,ESSFmw1/105,Hm,3,MR,FALSE
ESSFmw1,ESSFmw1/105,Hw,3,MR,FALSE
ESSFmw1,ESSFmw1/105,Pw,3,MR,FALSE
ESSFmw1,ESSFmw1/105,Cw,3,MR,FALSE
ESSFmw1,ESSFmw1/105,Fd,3,MR,FALSE
ESSFmw1,ESSFmw1/110,Bl,1,MR,FALSE
ESSFmw1,ESSFmw1/110,Se,1,MR,FALSE
ESSFmw1,ESSFmw1/110,Pl,2,MR,FALSE
ESSFmw1,ESSFmw1/111,Bl,2,MR,FALSE
ESSFmw1,ESSFmw1/111,Se,2,MR,FALSE
ESSFmw1,ESSFmw1/111,Pl,2,MR,FALSE
ESSFmw1,ESSFmw1/111,Pw,3,MR,FALSE
ESSFxc1,ESSFxc1/101,Se,1,MR,FALSE
ESSFxc1,ESSFxc1/101,Bl,1,MR,FALSE
ESSFxc1,ESSFxc1/101,Pl,2,MR,FALSE
ESSFxc1,ESSFxc1/102,Pl,3,MR,FALSE
ESSFxc1,ESSFxc1/102,Pa,3,MR,FALSE
ESSFxc1,ESSFxc1/102,Bl,3,MR,FALSE
ESSFxc1,ESSFxc1/102,Sx,3,MR,FALSE
ESSFxc1,ESSFxc1/103,Pl,1,MR,FALSE
ESSFxc1,ESSFxc1/103,Fd,2,MR,FALSE
ESSFxc1,ESSFxc1/103,Lw,2,MR,TRUE
ESSFxc1,ESSFxc1/103,Pa,2,MR,FALSE
ESSFxc1,ESSFxc1/103,Se,3,MR,FALSE
ESSFxc1,ESSFxc1/103,Bl,3,MR,FALSE
ESSFxc1,ESSFxc1/104,Pl,1,MR,FALSE
ESSFxc1,ESSFxc1/104,Se,2,MR,FALSE
ESSFxc1,ESSFxc1/104,Bl,2,MR,FALSE
ESSFxc1,ESSFxc1/105,Pl,1,MR,FALSE
ESSFxc1,ESSFxc1/105,Se,1,MR,FALSE
ESSFxc1,ESSFxc1/105,Bl,2,MR,FALSE
ESSFxc1,ESSFxc1/110,Pl,1,MR,FALSE
ESSFxc1,ESSFxc1/110,Se,1,MR,FALSE
ESSFxc1,ESSFxc1/110,Bl,1,MR,FALSE
ESSFxc1,ESSFxc1/111,Pl,1,MR,FALSE
ESSFxc1,ESSFxc1/111,Se,1,MR,FALSE
ESSFxc1,ESSFxc1/111,Bl,1,MR,FALSE
ESSFxc1,ESSFxc1/112,Se,2,MR,FALSE
ESSFxc1,ESSFxc1/112,Bl,2,MR,FALSE
ESSFxc1,ESSFxc1/112,Pl,3,MR,FALSE
ESSFxc1,ESSFxc1/113,Se,2,MR,FALSE
ESSFxc1,ESSFxc1/113,Bl,2,MR,FALSE
ESSFxc1,ESSFxc1/113,Pl,3,MR,FALSE
ESSFxc2,ESSFxc2/101,Se,1,MR,FALSE
ESSFxc2,ESSFxc2/101,Bl,1,MR,FALSE
ESSFxc2,ESSFxc2/101,Pl,2,MR,FALSE
ESSFxc2,ESSFxc2/102,Pl,3,MR,FALSE
ESSFxc2,ESSFxc2/102,Bl,3,MR,FALSE
ESSFxc2,ESSFxc2/102,Fd,3,MR,FALSE
ESSFxc2,ESSFxc2/102,Lw,3,MR,TRUE
ESSFxc2,ESSFxc2/103,Bl,1,MR,FALSE
ESSFxc2,ESSFxc2/103,Se,1,MR,FALSE
ESSFxc2,ESSFxc2/103,Pl,2,MR,FALSE
ESSFxc2,ESSFxc2/110,Bl,1,MR,FALSE
ESSFxc2,ESSFxc2/110,Se,1,MR,FALSE
ESSFxc2,ESSFxc2/110,Pl,2,MR,FALSE
ESSFxc2,ESSFxc2/111,Bl,1,MR,FALSE
ESSFxc2,ESSFxc2/111,Se,1,MR,FALSE
ESSFxc2,ESSFxc2/112,Se,3,MR,FALSE
ESSFxc2,ESSFxc2/112,Bl,3,MR,FALSE
ESSFxc2,ESSFxc2/112,Pl,3,MR,FALSE
IDFdk1,IDFdk1/101,Fd,1,MR,FALSE
IDFdk1,IDFdk1/101,Lw,1,MR,TRUE
IDFdk1,IDFdk1/101,Pl,2,MR,FALSE
IDFdk1,IDFdk1/101,At,2,MR,FALSE
IDFdk1,IDFdk1/101,Sx,3,MR,FALSE
IDFdk1,IDFdk1/101,Py,4,MR,FALSE
IDFdk1,IDFdk1/102,Fd,3,MR,FALSE
IDFdk1,IDFdk1/102,Pl,3,MR,FALSE
IDFdk1,IDFdk1/102,Py,3,MR,FALSE
IDFdk1,IDFdk1/103,Fd,2,MR,FALSE
IDFdk1,IDFdk1/103,Py,2,MR,FALSE
IDFdk1,IDFdk1/103,Pl,3,MR,FALSE
IDFdk1,IDFdk1/104,Fd,1,MR,FALSE
IDFdk1,IDFdk1/104,Lw,1,MR,TRUE
IDFdk1,IDFdk1/104,Pl,2,MR,FALSE
IDFdk1,IDFdk1/104,At,3,MR,FALSE
IDFdk1,IDFdk1/104,Sx,3,MR,FALSE
IDFdk1,IDFdk1/104,Py,4,MR,FALSE
IDFdk1,IDFdk1/105,Pl,1,MR,FALSE
IDFdk1,IDFdk1/105,Fd,2,MR,FALSE
IDFdk1,IDFdk1/105,Lw,2,MR,TRUE
IDFdk1,IDFdk1/105,Sx,2,MR,FALSE
IDFdk1,IDFdk1/105,At,2,MR,FALSE
IDFdk1,IDFdk1/105,Bl,3,MR,FALSE
IDFdk1,IDFdk1/110,Sx,1,MR,FALSE
IDFdk1,IDFdk1/110,Fd,2,MR,FALSE
IDFdk1,IDFdk1/110,Lw,2,MR,TRUE
IDFdk1,IDFdk1/110,Pl,2,MR,FALSE
IDFdk1,IDFdk1/110,At,2,MR,FALSE
IDFdk1,IDFdk1/110,Bl,3,MR,FALSE
IDFdk1,IDFdk1/110,Ep,3,MR,FALSE
IDFdk1,IDFdk1/111,Sx,2,MR,FALSE
IDFdk1,IDFdk1/111,Fd,3,MR,FALSE
IDFdk1,IDFdk1/111,Pl,3,MR,FALSE
IDFdk1,IDFdk1/111,Bl,3,MR,FALSE
IDFdk1,IDFdk1/111,At,3,MR,FALSE
IDFdk1,IDFdk1/111,Ep,3,MR,FALSE
IDFdk1,IDFdk1/111,Ac,3,MR,FALSE
IDFdk2,IDFdk2/101,Fd,1,MR,FALSE
IDFdk2,IDFdk2/101,Lw,1,MR,TRUE
IDFdk2,IDFdk2/101,Pl,2,MR,FALSE
IDFdk2,IDFdk2/101,At,2,MR,FALSE
IDFdk2,IDFdk2/101,Sx,3,MR,FALSE
IDFdk2,IDFdk2/101,Py,4,MR,FALSE
IDFdk2,IDFdk2/102,Fd,3,MR,FALSE
IDFdk2,IDFdk2/102,Pl,3,MR,FALSE
IDFdk2,IDFdk2/102,Py,3,MR,FALSE
IDFdk2,IDFdk2/103,Fd,2,MR,FALSE
IDFdk2,IDFdk2/103,Py,2,MR,FALSE
IDFdk2,IDFdk2/103,Pl,3,MR,FALSE
IDFdk2,IDFdk2/104,Fd,1,MR,FALSE
IDFdk2,IDFdk2/104,Lw,1,MR,TRUE
IDFdk2,IDFdk2/104,Pl,2,MR,FALSE
IDFdk2,IDFdk2/104,At,3,MR,FALSE
IDFdk2,IDFdk2/104,Py,4,MR,FALSE
IDFdk2,IDFdk2/104,Sx,4,MR,FALSE
IDFdk2,IDFdk2/105,Pl,1,MR,FALSE
IDFdk2,IDFdk2/105,Fd,2,MR,FALSE
IDFdk2,IDFdk2/105,Lw,2,MR,TRUE
IDFdk2,IDFdk2/105,Sx,2,MR,FALSE
IDFdk2,IDFdk2/105,At,2,MR,FALSE
IDFdk2,IDFdk2/105,Bl,3,MR,FALSE
IDFdk2,IDFdk2/110,Sx,1,MR,FALSE
IDFdk2,IDFdk2/110,Fd,2,MR,FALSE
IDFdk2,IDFdk2/110,Lw,2,MR,TRUE
IDFdk2,IDFdk2/110,Pl,2,MR,FALSE
IDFdk2,IDFdk2/110,At,2,MR,FALSE
IDFdk2,IDFdk2/110,Bl,3,MR,FALSE
IDFdk2,IDFdk2/110,Ep,3,MR,FALSE
IDFdk2,IDFdk2/111,Sx,2,MR,FALSE
IDFdk2,IDFdk2/111,Fd,3,MR,FALSE
IDFdk2,IDFdk2/111,Pl,3,MR,FALSE
IDFdk2,IDFdk2/111,Bl,3,MR,FALSE
IDFdk2,IDFdk2/111,At,3,MR,FALSE
IDFdk2,IDFdk2/111,Ep,3,MR,FALSE
IDFdk2,IDFdk2/111,Ac,3,MR,FALSE
IDFxh1,IDFxh1/101,Fd,1,MR,FALSE
IDFxh1,IDFxh1/101,Py,2,MR,FALSE
IDFxh1,IDFxh1/102,Py,3,MR,FALSE
IDFxh1,IDFxh1/102,Fd,3,MR,FALSE
IDFxh1,IDFxh1/103,Py,2,MR,FALSE
IDFxh1,IDFxh1/103,Fd,2,MR,FALSE
IDFxh1,IDFxh1/104,Py,1,MR,FALSE
IDFxh1,IDFxh1/104,Fd,2,MR,FALSE
IDFxh1,IDFxh1/105,Py,1,MR,FALSE
IDFxh1,IDFxh1/105,Fd,1,MR,FALSE
IDFxh1,IDFxh1/106,Py,1,MR,FALSE
IDFxh1,IDFxh1/106,Fd,1,MR,FALSE
IDFxh1,IDFxh1/110,Fd,1,MR,FALSE
IDFxh1,IDFxh1/110,Py,3,MR,FALSE
IDFxh1,IDFxh1/110,At,3,MR,FALSE
IDFxh1,IDFxh1/110,Ep,3,MR,FALSE
IDFxh1,IDFxh1/111.1,Fd,2,MR,FALSE
IDFxh1,IDFxh1/111.1,Sx,2,MR,FALSE
IDFxh1,IDFxh1/111.1,Pl,3,MR,FALSE
IDFxh1,IDFxh1/111.1,At,3,MR,FALSE
IDFxh1,IDFxh1/111.1,Ep,3,MR,FALSE
IDFxh1,IDFxh1/111.1,Ac,3,MR,FALSE
IDFxh1,IDFxh1/111.1,Cw,4,MR,FALSE
IDFxh1,IDFxh1/111.2,Fd,2,MR,FALSE
IDFxh1,IDFxh1/111.2,Cw,2,MR,FALSE
IDFxh1,IDFxh1/111.2,Sx,3,MR,FALSE
IDFxh1,IDFxh1/111.2,At,3,MR,FALSE
IDFxh1,IDFxh1/111.2,Ep,3,MR,FALSE
IDFxh1,IDFxh1/111.2,Ac,3,MR,FALSE
IDFxh1,IDFxh1/112,Sx,3,MR,FALSE
IDFxh1,IDFxh1/112,Fd,4,MR,FALSE
IDFxh1,IDFxh1/112,Pl,4,MR,FALSE
IDFxh1,IDFxh1/112,Cw,4,MR,FALSE
IDFxh1,IDFxh1/112,Ac,4,MR,FALSE
IDFxh1,IDFxh1/112,At,4,MR,FALSE
IDFxh1,IDFxh1/112,Ep,4,MR,FALSE
IDFxh2,IDFxh2/101,Fd,1,MR,FALSE
IDFxh2,IDFxh2/101,Py,3,MR,FALSE
IDFxh2,IDFxh2/101,At,4,MR,FALSE
IDFxh2,IDFxh2/102,Py,3,MR,FALSE
IDFxh2,IDFxh2/102,Fd,3,MR,FALSE
IDFxh2,IDFxh2/103,Py,1,MR,FALSE
IDFxh2,IDFxh2/103,Fd,2,MR,FALSE
IDFxh2,IDFxh2/104,Fd,2,MR,FALSE
IDFxh2,IDFxh2/104,Py,2,MR,FALSE
IDFxh2,IDFxh2/110,Fd,1,MR,FALSE
IDFxh2,IDFxh2/110,At,3,MR,FALSE
IDFxh2,IDFxh2/111,Fd,1,MR,FALSE
IDFxh2,IDFxh2/111,At,3,MR,FALSE
IDFxh2,IDFxh2/111,Ep,3,MR,FALSE
IDFxh2,IDFxh2/112,Fd,1,MR,FALSE
IDFxh2,IDFxh2/112,Sx,2,MR,FALSE
IDFxh2,IDFxh2/112,Cw,2,MR,FALSE
IDFxh2,IDFxh2/112,Pl,3,MR,FALSE
IDFxh2,IDFxh2/112,At,3,MR,FALSE
IDFxh2,IDFxh2/112,Ep,3,MR,FALSE
IDFxh2,IDFxh2/112,Ac,3,MR,FALSE
IDFxh2,IDFxh2/113,Sx,3,MR,FALSE
IDFxh2,IDFxh2/113,Fd,4,MR,FALSE
IDFxh2,IDFxh2/113,Pl,4,MR,FALSE
IDFxh2,IDFxh2/113,Cw,4,MR,FALSE
IDFxh2,IDFxh2/113,Ac,4,MR,FALSE
IDFxh2,IDFxh2/113,At,4,MR,FALSE
IDFxh2,IDFxh2/113,Ep,4,MR,FALSE
MSdm2,MSdm2/101,Pl,1,MR,FALSE
MSdm2,MSdm2/101,Sx,1,MR,FALSE
MSdm2,MSdm2/101,Bl,1,MR,FALSE
MSdm2,MSdm2/101,At,2,MR,FALSE
MSdm2,MSdm2/101,Fd,3,MR,FALSE
MSdm2,MSdm2/102,Pl,3,MR,FALSE
MSdm2,MSdm2/102,Fd,3,MR,FALSE
MSdm2,MSdm2/102,Sx,4,MR,FALSE
MSdm2,MSdm2/102,Bl,4,MR,FALSE
MSdm2,MSdm2/103,Fd,1,MR,FALSE
MSdm2,MSdm2/103,Pl,1,MR,FALSE
MSdm2,MSdm2/103,Lw,1,MR,TRUE
MSdm2,MSdm2/103,Bl,3,MR,FALSE
MSdm2,MSdm2/103,Sx,3,MR,FALSE
MSdm2,MSdm2/103,At,3,MR,FALSE
MSdm2,MSdm2/104,Pl,1,MR,FALSE
MSdm2,MSdm2/104,Sx,2,MR,FALSE
MSdm2,MSdm2/104,Bl,2,MR,FALSE
MSdm2,MSdm2/104,At,2,MR,FALSE
MSdm2,MSdm2/104,Fd,4,MR,FALSE
MSdm2,MSdm2/105,Pl,1,MR,FALSE
MSdm2,MSdm2/105,Sx,1,MR,FALSE
MSdm2,MSdm2/105,Bl,1,MR,FALSE
MSdm2,MSdm2/110,Sx,1,MR,FALSE
MSdm2,MSdm2/110,Bl,1,MR,FALSE
MSdm2,MSdm2/110,Pl,2,MR,FALSE
MSdm2,MSdm2/111,Sx,1,MR,FALSE
MSdm2,MSdm2/111,Bl,1,MR,FALSE
MSdm2,MSdm2/111,Pl,2,MR,FALSE
MSdm2,MSdm2/111,At,3,MR,FALSE
MSdm2,MSdm2/111,Fd,4,MR,FALSE
MSdm2,MSdm2/111,Lw,4,MR,TRUE
MSdm2,MSdm2/112,Sx,1,MR,FALSE
MSdm2,MSdm2/112,Bl,2,MR,FALSE
MSdm2,MSdm2/112,Pl,3,MR,FALSE
MSdm2,MSdm2/112,At,3,MR,FALSE
MSdm2,MSdm2/112,Fd,4,MR,FALSE
MSdm2,MSdm2/112,Lw,4,MR,TRUE
MSdm2,MSdm2/113,Pl,3,MR,FALSE
MSdm2,MSdm2/113,Sx,3,MR,FALSE
MSdm2,MSdm2/113,Bl,3,MR,FALSE
MSxk1,MSxk1/101,Pl,1,MR,FALSE
MSxk1,MSxk1/101,Sx,2,MR,FALSE
MSxk1,MSxk1/101,Bl,2,MR,FALSE
MSxk1,MSxk1/101,At,2,MR,FALSE
MSxk1,MSxk1/101,Fd,3,MR,FALSE
MSxk1,MSxk1/101,Lw,3,MR,TRUE
MSxk1,MSxk1/102,Pl,3,MR,FALSE
MSxk1,MSxk1/102,Fd,3,MR,FALSE
MSxk1,MSxk1/102,Lw,3,MR,TRUE
MSxk1,MSxk1/102,Bl,4,MR,FALSE
MSxk1,MSxk1/102,Sx,4,MR,FALSE
MSxk1,MSxk1/103,Pl,2,MR,FALSE
MSxk1,MSxk1/103,Fd,3,MR,FALSE
MSxk1,MSxk1/103,Lw,3,MR,TRUE
MSxk1,MSxk1/103,Bl,4,MR,FALSE
MSxk1,MSxk1/104,Pl,1,MR,FALSE
MSxk1,MSxk1/104,Sx,2,MR,FALSE
MSxk1,MSxk1/104,At,2,MR,FALSE
MSxk1,MSxk1/104,Bl,3,MR,FALSE
MSxk1,MSxk1/104,Fd,4,MR,FALSE
MSxk1,MSxk1/104,Lw,4,MR,TRUE
MSxk1,MSxk1/105,Pl,1,MR,FALSE
MSxk1,MSxk1/105,Sx,2,MR,FALSE
MSxk1,MSxk1/105,Bl,2,MR,FALSE
MSxk1,MSxk1/105,At,2,MR,FALSE
MSxk1,MSxk1/105,Fd,3,MR,FALSE
MSxk1,MSxk1/105,Lw,3,MR,TRUE
MSxk1,MSxk1/110,Pl,1,MR,FALSE
MSxk1,MSxk1/110,Sx,1,MR,FALSE
MSxk1,MSxk1/110,Bl,1,MR,FALSE
MSxk1,MSxk1/110,At,2,MR,FALSE
MSxk1,MSxk1/110,Bl,3,MR,FALSE
MSxk1,MSxk1/110,Lw,3,MR,TRUE
MSxk1,MSxk1/111,Pl,1,MR,FALSE
MSxk1,MSxk1/111,Sx,1,MR,FALSE
