bgc,ss_nospace,sppsplit,suitability,spp,newsuit,mod,outrange,Zone,Note,Comments,Footnotes
BAFAunp,BAFAunp/00,Bl,1,Bl,3,cd,FALSE,BAFA,imputed,Limited establishment and growth of all species,
BAFAunp,BAFAunp/00,Hm,3,Hm,4,cd,FALSE,BAFA,imputed,Limited establishment and growth of all species; restricted to areas closer to coastal BGC units,
BAFAunp,BAFAunp/00,Pa,3,Pa,4,cd,FALSE,BAFA,imputed,blister rust  will limit establishment,
ESSFmv3,ESSFmv3/01,At,1,At,2,cd,FALSE,ESSF,imputed,only suitable on warmer slopes,
BWBSdk,BWBSdk/102,Sb,5,Sb,5,cd,FALSE,BWBS,NA,,
BWBSmw,BWBSmw/103,Bl,3,Bl,3,cd,FALSE,BWBS,imputed,only near edges of ESSF or SWB,
BWBSmw,BWBSmw/104,Bl,3,Bl,3,cd,FALSE,BWBS,imputed,only near edges of ESSF or SWB,
BWBSmw,BWBSmw/111,Bl,3,Bl,3,cd,FALSE,BWBS,imputed,only near edges of ESSF or SWB,
BWBSmw,BWBSmw/110,Sb,5,Sb,5,cd,FALSE,BWBS,NA,not known to occur,
BWBSvk,BWBSvk/h,Acb,1,Ac,1,cd,FALSE,BWBS,NA,,
BWBSvk,BWBSvk/m,Acb,1,Ac,1,cd,FALSE,BWBS,NA,,
BWBSvk,BWBSvk/h,Sw,1,Sx,1,cd,FALSE,BWBS,NA,,
BWBSvk,BWBSvk/m,Sw,1,Sx,1,cd,FALSE,BWBS,NA,,
BWBSwk1,BWBSwk1/110,Bl,2,Bl,2,cd,FALSE,BWBS,imputed,only near edges of ESSF or SWB,
BWBSwk1,BWBSwk1/101,Ep,3,Ep,3,cd,FALSE,BWBS,imputed,rarely seen in the BWBSwk1,
BWBSwk2,BWBSwk2/110,Bl,3,Bl,3,cd,FALSE,BWBS,imputed,only near edges of ESSF or SWB,
ESSFmc,ESSFmc/03,Ac,4,Ac,4,cd,FALSE,ESSF,imputed,only at lower elevation limits,
ESSFmc,ESSFmc/09,Pli,4,Pl,4,cd,FALSE,ESSF,imputed,generally not present and only on edges of this unit,
ESSFmcw,ESSFmcw/110,Sx,3,Sx,3,cd,FALSE,ESSF,imputed,not familiar with this unit and couldn't find a guid,
ESSFwk2,ESSFwk2/03,Ac,3,Ac,3,cd,FALSE,ESSF,imputed,only at lower elevation limits and only sporadic occurrence,
ICHmc1,ICHmc1/02,Ac,4,Ac,4,cd,FALSE,ICH,imputed,only on moist microsites,
ICHmc1,ICHmc1/05,Ep,3,Ep,3,cd,FALSE,ICH,NA,limited to edges of this unit,
ICHmc1a,ICHmc1a/01a,Ba,1,Ba,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/03,Ba,1,Ba,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/02,Bl,3,Bl,3,cd,FALSE,ICH,NA,browsing and drought limit productivity,
ICHmc1a,ICHmc1a/03,Bl,2,Bl,2,cd,FALSE,ICH,NA,browsing may limit productivity,
ICHmc1a,ICHmc1a/01,Cw,4,Cw,4,cd,FALSE,ICH,NA,rare occurrence,
ICHmc1a,ICHmc1a/01a,Cw,4,Cw,4,cd,FALSE,ICH,NA,rare occurrence,
ICHmc1a,ICHmc1a/01b,Cw,4,Cw,4,cd,FALSE,ICH,NA,rare occurrence,
ICHmc1a,ICHmc1a/03,Cw,4,Cw,4,cd,FALSE,ICH,NA,rare occurrence,
ICHmc1a,ICHmc1a/01,Hw,1,Hw,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01a,Hw,1,Hw,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01b,Hw,1,Hw,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/02,Hw,2,Hw,2,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01,Pli,1,Pl,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01a,Pli,1,Pl,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01b,Pli,1,Pl,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/02,Pli,2,Pl,2,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/03,Pli,2,Pl,2,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01,Sxw,1,Sx,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01a,Sxw,1,Sx,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01b,Sxw,1,Sx,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/03,Sxw,1,Sx,1,cd,FALSE,ICH,NA,,
ICHvk1,ICHvk1/02,Ep,3,Ep,3,cd,FALSE,ICH,NA,limited natural distribution due to lack of fire history ,Check for distribution in harvested sites
ICHvk1,ICHvk1/06,Pli,4,Pl,4,cd,FALSE,ICH,NA,rare occurrence,Check for distribution
ICHvk1,ICHvk1/04,Tw,3,Tw,3,cd,FALSE,ICH,imputed,establishment success unkown,
ICHvk2,ICHvk2/05,Act,1,Ac,1,cd,FALSE,ICH,NA,,
ICHvk2,ICHvk2/01,Bl,2,Bl,2,cd,FALSE,ICH,NA,susceptible to browsing,
ICHvk2,ICHvk2/03,Bl,2,Bl,2,cd,FALSE,ICH,NA,susceptible to browsing,
ICHvk2,ICHvk2/05,Bl,2,Bl,2,cd,FALSE,ICH,NA,susceptible to browsing,
ICHvk2,ICHvk2/01,Cw,2,Cw,2,cd,FALSE,ICH,NA,susceptible to heart rot,older managed stands should be surveyed for heart rot
ICHvk2,ICHvk2/02,Cw,3,Cw,3,cd,FALSE,ICH,NA,limited by drought,
ICHvk2,ICHvk2/03,Cw,3,Cw,3,cd,FALSE,ICH,NA,limited by drought,
ICHvk2,ICHvk2/04,Cw,2,Cw,2,cd,FALSE,ICH,NA,susceptible to heart rot,older managed stands should be surveyed for heart rot
ICHvk2,ICHvk2/05,Cw,2,Cw,2,cd,FALSE,ICH,NA,susceptible to heart rot,older managed stands should be surveyed for heart rot
ICHvk2,ICHvk2/02,Hw,2,Hw,2,cd,FALSE,ICH,NA,susceptible to heart rot,
ICHvk2,ICHvk2/03,Hw,2,Hw,2,cd,FALSE,ICH,NA,susceptible to heart rot,
ICHvk2,ICHvk2/05,Hw,3,Hw,3,cd,FALSE,ICH,NA,limited distribution in this unit; susceptible to heart rot,
ICHvk2,ICHvk2/06,Hw,2,Hw,2,cd,FALSE,ICH,NA,susceptible to heart rot,
ICHvk2,ICHvk2/01,Pli,2,Pl,2,cd,FALSE,ICH,NA,susceptible to high veg competition; snow press on steep slopes,
ICHvk2,ICHvk2/03,Pli,2,Pl,2,cd,FALSE,ICH,NA,snow press on steep slopes,
ICHvk2,ICHvk2/04,Pli,2,Pl,2,cd,FALSE,ICH,NA,snow press on steep slopes,
ICHvk2,ICHvk2/07,Sb,2,Sb,2,cd,FALSE,ICH,NA,,
ICHvk2,ICHvk2/01,Sxw,1,Sx,1,cd,FALSE,ICH,NA,,
ICHvk2,ICHvk2/04,Sxw,1,Sx,1,cd,FALSE,ICH,NA,,
ICHvk2,ICHvk2/06,Sxw,2,Sx,2,cd,FALSE,ICH,NA,limited to raised microsites,
ICHwk1,ICHwk1/01,Act,3,Ac,3,cd,FALSE,ICH,NA,on wetter end of this unit as minor component,
ICHwk1,ICHwk1/08,Act,3,Ac,3,cd,FALSE,ICH,NA,generally as a minor component on less saturated soils,
ICHwk1,ICHwk1/08,Bl,2,Bl,2,cd,FALSE,ICH,NA,only on raised microsites,
ICHwk1,ICHwk1/05,Fdi,2,Fd,2,cd,FALSE,ICH,NA,likely not present in natural stands due to lack of fire history; may be acceptable on coarser textured soils,
ICHwk1,ICHwk1/07,Pli,4,Pl,4,cd,FALSE,ICH,NA,generally outcompeted on these sites,
ICHwk1,ICHwk1/08,Pli,4,Pl,4,cd,FALSE,ICH,NA,generally outcompeted on these sites,
ICHwk1,ICHwk1/04,Tw,3,Tw,3,cd,FALSE,ICH,imputed,unkown distribution,
ICHwk1,ICHwk1/03,Tw,3,Tw,3,cd,FALSE,ICH,imputed,unkown distribution,
ICHwk1,ICHwk1/06,Tw,4,Tw,4,cd,FALSE,ICH,imputed,unkown distribution,
SBPSmc,SBPSmc/01,Pli,1,Pl,1,cd,FALSE,SBPS,NA,,
SBPSmc,SBPSmc/01a,Pli,1,Pl,1,cd,FALSE,SBPS,NA,,
SBPSmc,SBPSmc/01b,Pli,1,Pl,1,cd,FALSE,SBPS,NA,,
SBPSmc,SBPSmc/02,Pli,2,Pl,2,cd,FALSE,SBPS,NA,drought limits productivity,
SBPSmc,SBPSmc/03,Pli,2,Pl,2,cd,FALSE,SBPS,NA,root restricting layers limit stand productivity over rotation,
SBPSmc,SBPSmc/04,Pli,2,Pl,2,cd,FALSE,SBPS,NA,root restricting layers limit stand productivity over rotation,
SBPSmc,SBPSmc/06,Pli,2,Pl,2,cd,FALSE,SBPS,NA,high vegetation competition may limit establishment,
SBPSmc,SBPSmc/04,Sb,2,Sb,2,cd,FALSE,SBPS,NA,productivity is lower than Pl on these sites,
SBPSmc,SBPSmc/05,Sb,3,Sb,3,cd,FALSE,SBPS,NA,outcompeted by Sx,
SBPSmc,SBPSmc/06,Sb,3,Sb,3,cd,FALSE,SBPS,NA,outcompeted by Sx,
SBSdh1,SBSdh1/06,Ac,3,Ac,3,cd,FALSE,SBS,imputed,only suitable at wetter end of this unit on coarser textured soils,
SBSdh1,SBSdh1/04,Ep,3,Ep,3,cd,FALSE,SBS,imputed,drought may limit establishment and growth,
SBSdk,SBSdk/08a,Act,1,Ac,1,cd,FALSE,SBS,NA,,
SBSdk,SBSdk/08b,Act,1,Ac,1,cd,FALSE,SBS,NA,,
SBSdk,SBSdk/08a,At,3,At,3,cd,FALSE,SBS,NA,outcompeted by other species,
SBSdk,SBSdk/08b,At,3,At,3,cd,FALSE,SBS,NA,outcompeted by other species,
SBSdk,SBSdk/08a,Ep,3,Ep,3,cd,FALSE,SBS,NA,outcompeted by other species,
SBSdk,SBSdk/08b,Ep,3,Ep,3,cd,FALSE,SBS,NA,outcompeted by other species,
SBSdw1,SBSdw1/05,Bl,2,Bl,2,cd,FALSE,SBS,imputed,limited to higher elevations,
SBSdw3,SBSdw3/03,Bl,3,Bl,3,cd,FALSE,SBS,imputed,drought and browsing limit establishment and early growth,
SBSdw3,SBSdw3/01,Bl,2,Bl,2,cd,FALSE,SBS,imputed,browsing limit establishment and early growth,
SBSdw3,SBSdw3/02,Ep,3,Ep,3,cd,FALSE,SBS,imputed,drought limits establishment and growth,
SBSdw3,SBSdw3/10,Lt,3,Lt,3,cd,FALSE,SBS,NA,limited productivity due to saturated soils,
SBSmc2,SBSmc2/01,Ac,3,Ac,3,cd,FALSE,SBS,imputed,drought limits establishment,
SBSmc2,SBSmc2/08,At,3,At,3,cd,FALSE,SBS,NA,saturated soil conditions limit establishment,
SBSmc2,SBSmc2/04,Bl,2,Bl,2,cd,FALSE,SBS,NA,browsing limit establishment and early growth,
SBSmc2,SBSmc2/06,Hw,3,Hw,3,cd,FALSE,SBS,imputed,limited to edges of this unit adjacent to ICH BGC units,
SBSmc2,SBSmc2/05,Hw,3,Hw,3,cd,FALSE,SBS,imputed,limited to edges of this unit adjacent to ICH BGC units,
SBSmc2,SBSmc2/04,Pli,1,Pl,1,cd,FALSE,SBS,NA,,
SBSmc2,SBSmc2/11,Pli,2,Pl,2,cd,FALSE,SBS,NA,saturated soils will limit establishment,
SBSmc2,SBSmc2/04,Sxw,1,Sx,1,cd,FALSE,SBS,NA,,
SBSmc3,SBSmc3/05,Bl,3,Bl,3,cd,FALSE,SBS,imputed,saturated soils in spring will limit establishment,
SBSmk1,SBSmk1/06,Ep,3,Ep,3,cd,FALSE,SBS,imputed,saturated soils in spring will limit establishment,
SBSmk2,SBSmk2/01,Sb,3,Sb,3,cd,FALSE,SBS,imputed,limited by nutrient levels in the soil on richer sites,
SBSwk1,SBSwk1/05,Ac,3,Ac,3,cd,FALSE,SBS,imputed,limited to wetter end of this unit on coarser textured soils,
SBSwk1,SBSwk1/05,Hw,2,Hw,2,cd,FALSE,SBS,imputed,limited to edges of BGC unit close to ICH BGC units,
SBSwk1,SBSwk1/10,Pli,2,Pl,2,cd,FALSE,SBS,NA,aggrestive vegeation competiton limits establishment,
SBSwk1,SBSwk1/12,Pli,2,Pl,2,cd,FALSE,SBS,NA,saturated soils limit establishment; restricted to raised microsites,
SBSwk1,SBSwk1/10,Sxw,1,Sx,1,cd,FALSE,SBS,NA,no known impediments,
SBSwk1,SBSwk1/12,Sxw,3,Sx,3,cd,FALSE,SBS,NA,saturated soils limit establishment,
SBSwk2,SBSwk2/01,Sb,3,Sb,3,cd,FALSE,SBS,imputed,limited by nutrient levels in the soil on richer sites,
SWBmk,SWBmk/03,Bl,2,Bl,2,cd,FALSE,SWB,imputed,limited by drought and lack of snow cover,
SWBmk,SWBmk/05,Bl,3,Bl,3,cd,FALSE,SWB,imputed,limited by lack of snow cover,
SWBmk,SWBmk/04,Bl,3,Bl,3,cd,FALSE,SWB,imputed,limited by lack of snow cover,
SWBmk,SWBmk/01,Sb,3,Sb,3,cd,FALSE,SWB,imputed,limited by nutrient levels in the soil on richer sites,
SWBun,SWBun/x,At,3,At,3,cd,FALSE,SWB,NA,drought limits productivity,
SWBun,SWBun/h,Bl,3,Bl,3,cd,FALSE,SWB,NA,drought limits productivity,
SWBun,SWBun/h,Sb,3,Sb,3,cd,FALSE,SWB,NA,limited by nutrient levels in the soil on richer sites,
SWBun,SWBun/m,Sb,3,Sb,3,cd,FALSE,SWB,NA,limited by nutrient levels in the soil on richer sites,
SWBun,SWBun/h,Sw,2,Sx,2,cd,FALSE,SWB,NA,sites generally unfavourable for growth,
SWBun,SWBun/m,Sw,2,Sx,2,cd,FALSE,SWB,NA,sites generally unfavourable for growth,
BWBSdk,BWBSdk/104,Ac,3,Ac,4,cd,FALSE,BWBS,imputed,rare occurrence; limited by drought,
BWBSmk,BWBSmk/111,Bl,4,Bl,5,cd,FALSE,BWBS,imputed,,
BWBSmk,BWBSmk/104,Lt,2,Lt,3,cd,FALSE,BWBS,NA,only seen at edges of this unit and never abundant,
BWBSmk,BWBSmk/104a,Lt,2,Lt,3,cd,FALSE,BWBS,NA,,
BWBSmk,BWBSmk/104b,Lt,2,Lt,3,cd,FALSE,BWBS,NA,,
BWBSmk,BWBSmk/102,Sw,5,Sx,3,cd,FALSE,BWBS,NA,occurs sporadically but generally not in main canopy,
BWBSmw,BWBSmw/104,Ac,3,Ac,4,cd,FALSE,BWBS,imputed,"rare occurrence, limited by drought",
BWBSmw,BWBSmw/103,Sb,2,Sb,3,cd,FALSE,BWBS,imputed,generally not present and only on edges of this unit,
BWBSmw,BWBSmw/102,Sw,5,Sx,4,cd,FALSE,BWBS,NA,occurs sporadically but generally not in main canopy,
BWBSvk,BWBSvk/x,At,3,At,2,cd,FALSE,BWBS,NA,,
BWBSvk,BWBSvk/h,Bl,1,Bl,4,cd,FALSE,BWBS,NA,,
BWBSvk,BWBSvk/m,Bl,1,Bl,2,cd,FALSE,BWBS,NA,,
BWBSvk,BWBSvk/x,Bl,1,Bl,2,cd,FALSE,BWBS,NA,,
BWBSvk,BWBSvk/m,Ep,2,Ep,1,cd,FALSE,BWBS,NA,,
BWBSvk,BWBSvk/x,Sw,1,Sx,2,cd,FALSE,BWBS,NA,,
BWBSwk1,BWBSwk1/101,Ac,2,Ac,4,cd,FALSE,BWBS,imputed,limited to lower elevations on warm aspects,
BWBSwk1,BWBSwk1/111,Bl,1,Bl,2,cd,FALSE,BWBS,imputed,only near edges of ESSF or SWB,
BWBSwk1,BWBSwk1/111,Ep,2,Ep,5,cd,FALSE,BWBS,imputed,limited to lower elevations on warm aspects,
BWBSwk1,BWBSwk1/111,Lt,2,Lt,5,cd,FALSE,BWBS,NA,never seen in the wk1,
BWBSwk1,BWBSwk1/103,Sb,2,Sb,3,cd,FALSE,BWBS,imputed,generally not present and only on edges of this unit,
BWBSwk2,BWBSwk2/102,Bl,2,Bl,3,cd,FALSE,BWBS,imputed,only near edges of ESSF or SWB,
BWBSwk3,BWBSwk3/110,Lt,2,Lt,5,cd,FALSE,BWBS,NA,never seen in this BGC,
BWBSwk3,BWBSwk3/111,Lt,2,Lt,5,cd,FALSE,BWBS,NA,never seen in this BGC,
ESSFmc,ESSFmc/02,At,3,At,2,cd,FALSE,ESSF,imputed,only at lower elevation limits,
ESSFmc,ESSFmc/08,Pli,3,Pl,4,cd,FALSE,ESSF,imputed,generally not present and only on edges of this unit,
ESSFmc,ESSFmc/10,Pli,3,Pl,4,cd,FALSE,ESSF,imputed,generally not present and only on edges of this unit,
ESSFmv3,ESSFmv3/01,At,1,At,2,cd,FALSE,ESSF,imputed,only at lower elevation limits,
ESSFwc2,ESSFwc2/02,Fdi,3,Fd,2,cd,FALSE,ESSF,imputed,only at lower elevation limits,
ESSFwc2,ESSFwc2/05,Hw,3,Hw,2,cd,FALSE,ESSF,imputed,only at lower elevation limits,
ESSFwc2,ESSFwc2/01,Hw,3,Hw,2,cd,FALSE,ESSF,imputed,only at lower elevation limits,
ESSFwk1,ESSFwk1/04,Ac,3,Ac,2,cd,FALSE,ESSF,imputed,only at lower elevation limits,
ESSFwk1,ESSFwk1/01,At,3,At,2,cd,FALSE,ESSF,imputed,only at lower elevation limits,
ESSFwk1,ESSFwk1/04,Cw,3,Cw,2,cd,FALSE,ESSF,imputed,only at boundary with ICH zone,
ESSFwk1,ESSFwk1/01,Lw,3,Lw,4,cd,TRUE,ESSF,NA,generally not present and only on edges of this unit,
ESSFwk1,ESSFwk1/03,Lw,3,Lw,4,cd,TRUE,ESSF,NA,generally not present and only on edges of this unit,
ICHmc1,ICHmc1/01,At,2,At,1,cd,FALSE,ICH,NA,,
ICHmc1,ICHmc1/01a,At,2,At,1,cd,FALSE,ICH,NA,,
ICHmc1,ICHmc1/01b,At,2,At,1,cd,FALSE,ICH,NA,,
ICHmc1,ICHmc1/02,At,3,At,2,cd,FALSE,ICH,NA,,
ICHmc1,ICHmc1/03,At,2,At,1,cd,FALSE,ICH,NA,,
ICHmc1,ICHmc1/04,At,2,At,1,cd,FALSE,ICH,NA,,
ICHmc1,ICHmc1/05,At,3,At,1,cd,FALSE,ICH,NA,,
ICHmc1,ICHmc1/02,Ep,3,Ep,4,cd,FALSE,ICH,imputed,only on moist microsites,
ICHmc1,ICHmc1/01,Ep,2,Ep,1,cd,FALSE,ICH,NA,,
ICHmc1,ICHmc1/01a,Ep,2,Ep,1,cd,FALSE,ICH,NA,,
ICHmc1,ICHmc1/01b,Ep,2,Ep,1,cd,FALSE,ICH,NA,,
ICHmc1,ICHmc1/03,Ep,2,Ep,1,cd,FALSE,ICH,NA,,
ICHmc1,ICHmc1/04,Ep,2,Ep,1,cd,FALSE,ICH,NA,,
ICHmc1,ICHmc1/01,Fdi,3,Fd,5,cd,TRUE,ICH,NA,Not present as far as I know,
ICHmc1,ICHmc1/01a,Fdi,3,Fd,5,cd,TRUE,ICH,NA,Not present as far as I know,
ICHmc1,ICHmc1/01b,Fdi,3,Fd,5,cd,TRUE,ICH,NA,Not present as far as I know,
ICHmc1,ICHmc1/03,Fdi,3,Fd,5,cd,TRUE,ICH,NA,Not present as far as I know,
ICHmc1,ICHmc1/01,Lw,3,Lw,5,cd,TRUE,ICH,NA,Not present as far as I know,
ICHmc1,ICHmc1/01a,Lw,3,Lw,5,cd,TRUE,ICH,NA,Not present as far as I know,
ICHmc1,ICHmc1/01b,Lw,3,Lw,5,cd,TRUE,ICH,NA,Not present as far as I know,
ICHmc1,ICHmc1/03,Lw,3,Lw,5,cd,TRUE,ICH,NA,Not present as far as I know,
ICHmc1a,ICHmc1a/02,Act,3,Ac,4,cd,FALSE,ICH,NA,restricted to moist microsites,
ICHmc1a,ICHmc1a/01,At,3,At,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01a,At,3,At,1,cd,FALSE,ICH,NA,,
