bgc,ss_nospace,sppsplit,suitability,spp,newsuit,mod,outrange,Zone,Note,Comments,Footnotes
ICHmc1a,ICHmc1a/01b,At,3,At,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/02,At,3,At,2,cd,FALSE,ICH,NA,low productivity,
ICHmc1a,ICHmc1a/01,Ba,1,Ba,2,cd,FALSE,ICH,NA,limited distribution,
ICHmc1a,ICHmc1a/01b,Ba,1,Ba,2,cd,FALSE,ICH,NA,limited distribution,
ICHmc1a,ICHmc1a/02,Ba,1,Ba,3,cd,FALSE,ICH,NA,low productivity,
ICHmc1a,ICHmc1a/01,Bl,3,Bl,2,cd,FALSE,ICH,NA,browsing may limit productivity,
ICHmc1a,ICHmc1a/01a,Bl,3,Bl,2,cd,FALSE,ICH,NA,browsing may limit productivity,
ICHmc1a,ICHmc1a/01b,Bl,3,Bl,2,cd,FALSE,ICH,NA,browsing may limit productivity,
ICHmc1a,ICHmc1a/02,Cw,4,Cw,5,cd,FALSE,ICH,NA,not suitable ,
ICHmc1a,ICHmc1a/01,Ep,3,Ep,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01a,Ep,3,Ep,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01b,Ep,3,Ep,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/02,Ep,3,Ep,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/03,Hw,2,Hw,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/02,Sxw,1,Sx,2,cd,FALSE,ICH,NA,only on moist microsites,
ICHmm,ICHmm/02,Ac,3,Ac,4,cd,FALSE,ICH,imputed,only on moist microsites,
ICHmm,ICHmm/01,Lw,3,Lw,4,cd,TRUE,ICH,NA,very limited to southern end of this BGC unit,
ICHvk1,ICHvk1/01,Act,3,Ac,2,cd,FALSE,ICH,NA,limited natural distribution due to lack of fire history ,Check for distribution in harvested sites
ICHvk1,ICHvk1/02,Act,3,Ac,4,cd,FALSE,ICH,NA,only on moist microsites,
ICHvk1,ICHvk1/03,Act,3,Ac,4,cd,FALSE,ICH,NA,only on moist microsites,
ICHvk1,ICHvk1/04,Act,3,Ac,2,cd,FALSE,ICH,NA,limited natural distribution due to lack of fire history ,Check for distribution in harvested sites
ICHvk1,ICHvk1/01,At,3,At,2,cd,FALSE,ICH,NA,limited natural distribution due to lack of fire history ,Check for distribution in harvested sites
ICHvk1,ICHvk1/02,At,3,At,2,cd,FALSE,ICH,NA,limited natural distribution due to lack of fire history ,Check for distribution in harvested sites
ICHvk1,ICHvk1/01,Ep,3,Ep,2,cd,FALSE,ICH,NA,limited natural distribution due to lack of fire history ,Check for distribution in harvested sites
ICHvk1,ICHvk1/01,Fdi,3,Fd,2,cd,FALSE,ICH,NA,unsure of distribution,Check for distribution
ICHvk1,ICHvk1/04,Fdi,3,Fd,2,cd,FALSE,ICH,NA,unsure of distribution,Check for distribution
ICHvk1,ICHvk1/02,Lw,3,Lw,2,cd,TRUE,ICH,NA,unsure of distribution,Check for distribution
ICHvk1,ICHvk1/03,Lw,3,Lw,2,cd,TRUE,ICH,NA,unsure of distribution,Check for distribution
ICHvk1,ICHvk1/04,Lw,3,Lw,2,cd,TRUE,ICH,NA,unsure of distribution,Check for distribution
ICHvk1,ICHvk1/02,Pli,4,Pl,2,cd,FALSE,ICH,NA,may be impacted by snow press on steeper slopes,Check for distribution
ICHvk1,ICHvk1/03,Pli,4,Pl,2,cd,FALSE,ICH,NA,may be impacted by snow press on steeper slopes,Check for distribution
ICHvk1,ICHvk1/02,Pw,3,Pw,5,cd,FALSE,ICH,NA,not known to occur,Check for distribution
ICHvk1,ICHvk1/05,Pw,3,Pw,5,cd,FALSE,ICH,NA,not known to occur,Check for distribution
ICHvk1,ICHvk1/06,Pw,3,Pw,5,cd,FALSE,ICH,NA,not known to occur,Check for distribution
ICHvk2,ICHvk2/01,Act,3,Ac,2,cd,FALSE,ICH,NA,limited natural distribution due to lack of fire history ,Check for distribution in harvested sites
ICHvk2,ICHvk2/04,Act,3,Ac,2,cd,FALSE,ICH,NA,limited natural distribution due to lack of fire history ,Check for distribution in harvested sites
ICHvk2,ICHvk2/06,Act,3,Ac,5,cd,FALSE,ICH,NA,saturated soils restrict it's establishment,
ICHvk2,ICHvk2/01,At,3,At,2,cd,FALSE,ICH,NA,limited natural distribution due to lack of fire history ,Check for distribution in harvested sites
ICHvk2,ICHvk2/03,At,3,At,2,cd,FALSE,ICH,NA,limited natural distribution due to lack of fire history ,Check for distribution in harvested sites
ICHvk2,ICHvk2/04,At,3,At,2,cd,FALSE,ICH,NA,limited natural distribution due to lack of fire history ,Check for distribution in harvested sites
ICHvk2,ICHvk2/04,Bl,1,Bl,2,cd,FALSE,ICH,NA,susceptible to browsing,
ICHvk2,ICHvk2/06,Bl,3,Bl,2,cd,FALSE,ICH,NA,susceptible to browsing,
ICHvk2,ICHvk2/06,Cw,3,Cw,2,cd,FALSE,ICH,NA,susceptible to heart rot,older managed stands should be surveyed for heart rot
ICHvk2,ICHvk2/01,Ep,3,Ep,2,cd,FALSE,ICH,NA,limited natural distribution due to lack of fire history ,Check for distribution in harvested sites
ICHvk2,ICHvk2/03,Ep,3,Ep,2,cd,FALSE,ICH,NA,limited natural distribution due to lack of fire history ,Check for distribution in harvested sites
ICHvk2,ICHvk2/04,Ep,3,Ep,2,cd,FALSE,ICH,NA,limited natural distribution due to lack of fire history ,Check for distribution in harvested sites
ICHvk2,ICHvk2/05,Ep,3,Ep,2,cd,FALSE,ICH,NA,limited natural distribution due to lack of fire history ,Check for distribution in harvested sites
ICHvk2,ICHvk2/01,Fdi,3,Fd,2,cd,FALSE,ICH,NA,limited natural distribution due to lack of fire history ; limit to coarse textured soils,
ICHvk2,ICHvk2/02,Fdi,2,Fd,1,cd,FALSE,ICH,NA,,
ICHvk2,ICHvk2/03,Fdi,2,Fd,1,cd,FALSE,ICH,NA,,
ICHvk2,ICHvk2/04,Fdi,3,Fd,2,cd,FALSE,ICH,NA,limited natural distribution due to lack of fire history,
ICHvk2,ICHvk2/01,Hw,1,Hw,2,cd,FALSE,ICH,NA,susceptible to heart rot,older managed stands should be surveyed for heart rot
ICHvk2,ICHvk2/04,Hw,1,Hw,2,cd,FALSE,ICH,NA,susceptible to heart rot,
ICHvk2,ICHvk2/01,Lw,3,Lw,5,cd,TRUE,ICH,NA,not known to occur,
ICHvk2,ICHvk2/03,Lw,3,Lw,5,cd,TRUE,ICH,NA,not known to occur,
ICHvk2,ICHvk2/04,Lw,3,Lw,5,cd,TRUE,ICH,NA,not known to occur,
ICHvk2,ICHvk2/02,Pli,3,Pl,2,cd,FALSE,ICH,NA,snow press on steep slopes,
ICHvk2,ICHvk2/05,Pli,2,Pl,4,cd,FALSE,ICH,NA,,
ICHvk2,ICHvk2/06,Pli,3,Pl,4,cd,FALSE,ICH,NA,,
ICHvk2,ICHvk2/07,Pli,3,Pl,2,cd,FALSE,ICH,NA,limited to raised microsites,
ICHvk2,ICHvk2/01,Pw,4,Pw,5,cd,FALSE,ICH,NA,not known to occur,
ICHvk2,ICHvk2/02,Sxw,3,Sx,4,cd,FALSE,ICH,NA,limited by drought,
ICHvk2,ICHvk2/03,Sxw,3,Sx,2,cd,FALSE,ICH,NA,limited to moist microsites,
ICHvk2,ICHvk2/05,Sxw,2,Sx,1,cd,FALSE,ICH,NA,,
ICHvk2,ICHvk2/07,Sxw,3,Sx,4,cd,FALSE,ICH,NA,not present due to saturated soil conditions,
ICHwk1,ICHwk1/04,Act,3,Ac,5,cd,FALSE,ICH,NA,,
ICHwk1,ICHwk1/08,At,3,At,5,cd,FALSE,ICH,NA,will not tolerate the saturated soil conditions,
ICHwk1,ICHwk1/02,Bl,3,Bl,5,cd,FALSE,ICH,NA,,
ICHwk1,ICHwk1/08,Cw,1,Cw,2,cd,FALSE,ICH,NA,only on raised microsites,
ICHwk1,ICHwk1/08,Ep,3,Ep,5,cd,FALSE,ICH,NA,will not tolerate the saturated soil conditions,
ICHwk1,ICHwk1/08,Hw,1,Hw,2,cd,FALSE,ICH,NA,only on raised microsites,
ICHwk1,ICHwk1/05,Lw,3,Lw,5,cd,TRUE,ICH,NA,,
ICHwk1,ICHwk1/01,Pli,4,Pl,3,cd,FALSE,ICH,NA,snow press on steep slopes; agreesive competition may limit establishment,
ICHwk1,ICHwk1/04,Pli,4,Pl,3,cd,FALSE,ICH,NA,snow press on steep slopes; agreesive competition may limit establishment,
ICHwk1,ICHwk1/05,Pli,3,Pl,4,cd,FALSE,ICH,NA,generally outcompeted on these sites,
ICHwk1,ICHwk1/06,Pli,3,Pl,4,cd,FALSE,ICH,NA,generally outcompeted on these sites,
ICHwk1,ICHwk1/06,Pw,3,Pw,,cd,FALSE,ICH,NA,unkown distribution,
ICHwk1,ICHwk1/07,Pw,3,Pw,,cd,FALSE,ICH,NA,unkown distribution,
ICHwk1,ICHwk1/08,Sxw,1,Sx,2,cd,FALSE,ICH,NA,only on raised microsites,
ICHwk3,ICHwk3/01,Lw,3,Lw,4,cd,TRUE,ICH,NA,likely not present in natural stands due to lack of fire history; may be tried on experimental basis,
ICHwk4,ICHwk4/04,Cw,3,Cw,1,cd,FALSE,ICH,imputed,,
ICHwk4,ICHwk4/04,Ep,3,Ep,2,cd,FALSE,ICH,imputed,suitable on moister end of this unit,
SBPSdc,SBPSdc/08,At,3,At,2,cd,FALSE,SBPS,imputed,on drier edges of this unit,
SBPSdc,SBPSdc/01,Lw,4,Lw,5,cd,TRUE,SBPS,NA,,
SBPSdc,SBPSdc/05,Lw,4,Lw,5,cd,TRUE,SBPS,NA,,
SBPSmc,SBPSmc/05,Act,3,Ac,1,cd,FALSE,SBPS,NA,no known impediments,
SBPSmc,SBPSmc/06,Act,3,Ac,4,cd,FALSE,SBPS,NA,will not tolerate the saturated soil conditions,
SBPSmc,SBPSmc/01,At,3,At,1,cd,FALSE,SBPS,NA,no known impediments,
SBPSmc,SBPSmc/01a,At,3,At,1,cd,FALSE,SBPS,NA,no known impediments,
SBPSmc,SBPSmc/01b,At,3,At,1,cd,FALSE,SBPS,NA,no known impediments,
SBPSmc,SBPSmc/02,At,3,At,4,cd,FALSE,SBPS,NA,severe limitations in productivity due to drought,
SBPSmc,SBPSmc/03,At,3,At,2,cd,FALSE,SBPS,NA,saturated soils in spring may limit productiivity,
SBPSmc,SBPSmc/04,At,3,At,4,cd,FALSE,SBPS,NA,saturated soils will limit establishment,
SBPSmc,SBPSmc/01,Lw,4,Lw,5,cd,TRUE,SBPS,NA,,
SBPSmc,SBPSmc/01a,Lw,4,Lw,5,cd,TRUE,SBPS,NA,,
SBPSmc,SBPSmc/01b,Lw,4,Lw,5,cd,TRUE,SBPS,NA,,
SBPSmc,SBPSmc/05,Pli,2,Pl,1,cd,FALSE,SBPS,NA,,
SBPSmc,SBPSmc/07,Pli,2,Pl,4,cd,FALSE,SBPS,NA,marginal conditions for establishment and growth,
SBPSmc,SBPSmc/01,Sb,3,Sb,2,cd,FALSE,SBPS,NA,limited by nutrient levels in the soil on richer sites,
SBPSmc,SBPSmc/01a,Sb,3,Sb,2,cd,FALSE,SBPS,NA,limited by nutrient levels in the soil on richer sites,
SBPSmc,SBPSmc/01b,Sb,3,Sb,2,cd,FALSE,SBPS,NA,limited by nutrient levels in the soil on richer sites,
SBPSmc,SBPSmc/02,Sb,3,Sb,2,cd,FALSE,SBPS,NA,only on moist microsites,
SBPSmc,SBPSmc/03,Sb,1,Sb,2,cd,FALSE,SBPS,NA,productivity is lower than Pl on these sites,
SBPSmc,SBPSmc/07,Sb,2,Sb,3,cd,FALSE,SBPS,NA,limited viability of the site for forestry,
SBPSmc,SBPSmc/01,Sxw,2,Sx,1,cd,FALSE,SBPS,NA,,
SBPSmc,SBPSmc/01a,Sxw,2,Sx,1,cd,FALSE,SBPS,NA,,
SBPSmc,SBPSmc/01b,Sxw,2,Sx,1,cd,FALSE,SBPS,NA,,
SBPSmc,SBPSmc/02,Sxw,3,Sx,2,cd,FALSE,SBPS,NA,drought limits productivity,
SBPSmc,SBPSmc/03,Sxw,3,Sx,2,cd,FALSE,SBPS,NA,drought and root restricting layers limit productivity,
SBPSmc,SBPSmc/04,Sxw,3,Sx,2,cd,FALSE,SBPS,NA,root restricting layers limit stand productivity over rotation,
SBPSmc,SBPSmc/05,Sxw,2,Sx,1,cd,FALSE,SBPS,NA,,
SBPSmc,SBPSmc/06,Sxw,3,Sx,2,cd,FALSE,SBPS,NA,poor soil aeration limits productivity,
SBPSmc,SBPSmc/07,Sxw,3,Sx,4,cd,FALSE,SBPS,NA,saturated soils limit establishment,
SBSdh1,SBSdh1/04,At,4,At,1,cd,FALSE,SBS,imputed,no known impediments,
SBSdh1,SBSdh1/04,Bl,2,Bl,3,cd,FALSE,SBS,imputed,drought may limit establishment and growth; browsing also may limit early growth,
SBSdh1,SBSdh1/01,Lw,2,Lw,5,cd,TRUE,SBS,NA,not known to occur,
SBSdh1,SBSdh1/03,Lw,3,Lw,5,cd,TRUE,SBS,NA,not known to occur,
SBSdk,SBSdk/04,Bl,2,Bl,3,cd,FALSE,SBS,imputed,drought limits establishment,
SBSdk,SBSdk/01,Lw,2,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSdk,SBSdk/01a,Lw,2,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSdk,SBSdk/01b,Lw,2,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSdk,SBSdk/03,Lw,2,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSdk,SBSdk/04,Lw,2,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSdk,SBSdk/05,Lw,2,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSdk,SBSdk/06,Lw,2,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSdk,SBSdk/08a,Pli,2,Pl,4,cd,FALSE,SBS,NA,aggrestive vegeation competiton limits establishment,
SBSdk,SBSdk/08b,Pli,2,Pl,4,cd,FALSE,SBS,NA,aggrestive vegeation competiton limits establishment,
SBSdk,SBSdk/08a,Sxw,1,Sx,2,cd,FALSE,SBS,NA,aggrestive vegeation competiton may limit early growth,
SBSdk,SBSdk/08b,Sxw,1,Sx,2,cd,FALSE,SBS,NA,aggrestive vegeation competiton may limit early growth,
SBSdw2,SBSdw2/01,Lw,2,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSdw2,SBSdw2/06,Lw,2,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSdw2,SBSdw2/08,Lw,3,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSdw3,SBSdw3/02,At,4,At,2,cd,FALSE,SBS,imputed,drought limits productivity,
SBSdw3,SBSdw3/07,Fdi,3,Fd,2,cd,FALSE,SBS,imputed,frost and lack of aeration in lacustrine soils may limit establishment ,
SBSdw3,SBSdw3/05,Fdi,1,Fd,3,cd,FALSE,SBS,imputed,saturated soils in spring limit establishment,
SBSdw3,SBSdw3/01,Lw,2,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSdw3,SBSdw3/04,Lw,2,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSdw3,SBSdw3/06,Lw,3,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSdw3,SBSdw3/07,Lw,3,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSmc2,SBSmc2/11,Bl,2,Bl,3,cd,FALSE,SBS,NA,"multiple limiting factors including frost, browsing, and saturated soil conditions limit establishment ",
SBSmc2,SBSmc2/11,Sxw,1,Sx,2,cd,FALSE,SBS,NA,occurs on raised microsites,
SBSmc3,SBSmc3/02,At,3,At,2,cd,FALSE,SBS,imputed,may be drought limited,
SBSmc3,SBSmc3/03,Bl,3,Bl,2,cd,FALSE,SBS,imputed,may be drought limited,
SBSmh,SBSmh/01,Lw,2,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSmh,SBSmh/05,Lw,2,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSmh,SBSmh/06,Lw,2,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSmk1,SBSmk1/02,Bl,2,Bl,3,cd,FALSE,SBS,imputed,drought limits establishment and growth,
SBSmk1,SBSmk1/01,Lw,3,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSmk1,SBSmk1/04,Lw,3,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSmk1,SBSmk1/05,Lw,3,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSmk1,SBSmk1/07,Lw,3,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSvk,SBSvk/04,Cw,4,Cw,2,cd,FALSE,SBS,imputed,limited to edges of BGC unit close to ICH BGC units,
SBSvk,SBSvk/04,Hw,4,Hw,2,cd,FALSE,SBS,imputed,limited to edges of BGC unit close to ICH BGC units,
SBSwk1,SBSwk1/10,Act,3,Ac,1,cd,FALSE,SBS,NA,no known impediments,
SBSwk1,SBSwk1/12,At,3,At,5,cd,FALSE,SBS,NA,will not tolerate the saturated soil conditions,
SBSwk1,SBSwk1/10,Bl,2,Bl,1,cd,FALSE,SBS,NA,no known impediments,
SBSwk1,SBSwk1/06,Fdi,3,Fd,4,cd,FALSE,SBS,imputed,saturated soils limit establishment,
SBSwk1,SBSwk1/12,Sb,3,Sb,2,cd,FALSE,SBS,NA,saturated soils limit establishment; restricted to raised microsites,
SBSwk2,SBSwk2/06,Ep,2,Ep,1,cd,FALSE,SBS,imputed,no known impediments,
SBSwk3,SBSwk3/02,Fdi,2,Fd,3,cd,FALSE,SBS,imputed,northern limits of Fd; restricted by frost especially on level sites,
SBSwk3,SBSwk3/01,Lw,3,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSwk3,SBSwk3/04,Lw,3,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSwk3,SBSwk3/06,Lw,3,Lw,5,cd,TRUE,SBS,NA,does not naturally occur,
SBSwk3,SBSwk3/06,Sb,1,Sb,4,cd,FALSE,SBS,imputed,limited by nutrient levels in the soil on richer sites,
SWBmk,SWBmk/03,Sb,2,Sb,3,cd,FALSE,SWB,imputed,limited by nutrient levels in the soil on richer sites,
SWBun,SWBun/h,Acb,3,Ac,5,cd,FALSE,SWB,NA,sites too dry ,
SWBun,SWBun/m,At,3,At,2,cd,FALSE,SWB,NA,restricted to warm aspects,
SWBun,SWBun/m,Bl,2,Bl,3,cd,FALSE,SWB,NA,variable depending on snow pack,
SWBun,SWBun/m,Pli,3,Pl,2,cd,FALSE,SWB,NA,sites generally unfavourable for growth,
SWBun,SWBun/x,Pli,3,Pl,2,cd,FALSE,SWB,NA,snow press on steep slopes,
SWBun,SWBun/x,Sw,3,Sx,2,cd,FALSE,SWB,NA,drought limits establishment on drier end of this unit,
