bgc,ss_nospace,sppsplit,suitability,spp,newsuit,mod,outrange,Zone,Note,Comments
ESSFdcp,ESSFdcp/00,Bl,3,Bl,3,cd,FALSE,ESSF,NA,Generally limited by severe growing conditions
ESSFdcw,ESSFdcw/102,La,2,La,2,cd,FALSE,ESSF,NA,
ESSFdk1,ESSFdk1/103,Pf,3,Pf,2,cd,FALSE,ESSF,NA,fits within it's tolerance
ESSFdkw,ESSFdkw/101,Bl,2,Bl,2,cd,FALSE,ESSF,NA,Generally limited by severe growing conditions
ESSFdkw,ESSFdkw/102,Bl,2,Bl,3,cd,FALSE,ESSF,NA,"Generally limited by severe growing conditions, limited by drought"
ESSFdkw,ESSFdkw/103,Bl,2,Bl,2,cd,FALSE,ESSF,NA,
ESSFdkw,ESSFdkw/110,Bl,2,Bl,2,cd,FALSE,ESSF,NA,
ESSFdkw,ESSFdkw/102,La,2,La,2,cd,FALSE,ESSF,NA,
ESSFdkw,ESSFdkw/103,La,2,La,2,cd,FALSE,ESSF,NA,
ESSFdkw,ESSFdkw/101,Pa,3,Pa,3,cd,FALSE,ESSF,imputed,
ESSFdkw,ESSFdkw/102,Pa,3,Pa,2,cd,FALSE,ESSF,NA,
ESSFdkw,ESSFdkw/103,Pa,3,Pa,2,cd,FALSE,ESSF,NA,
ESSFdkw,ESSFdkw/101,Pli,3,Pl,3,cd,FALSE,ESSF,NA,limited to lower elevations; snow press will limit productivity
ESSFdkw,ESSFdkw/102,Pli,3,Pl,3,cd,FALSE,ESSF,NA,limited to lower elevations; snow press will limit productivity
ESSFdkw,ESSFdkw/103,Pli,3,Pl,3,cd,FALSE,ESSF,NA,limited to lower elevations; snow press will limit productivity
ESSFdkw,ESSFdkw/101,Se,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFdkw,ESSFdkw/102,Se,3,Sx,3,cd,FALSE,ESSF,NA,drought limits establishment
ESSFdkw,ESSFdkw/103,Se,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFdkw,ESSFdkw/110,Se,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFmh,ESSFmh/112.1,Act,3,Ac,2,cd,FALSE,ESSF,NA,
ESSFmh,ESSFmh/112.2,Act,3,Ac,3,cd,FALSE,ESSF,NA,poor aeration will limit establishment
ESSFmh,ESSFmh/103,At,3,At,2,cd,FALSE,ESSF,imputed,restricted to warm slopes
ESSFmh,ESSFmh/112.1,Bl,2,Bl,1,cd,FALSE,ESSF,NA,
ESSFmh,ESSFmh/112.2,Bl,2,Bl,2,cd,FALSE,ESSF,NA,poor aeration will limit productivity
ESSFmh,ESSFmh/111,Ep,3,Ep,2,cd,FALSE,ESSF,imputed,limited to warm aspects
ESSFmh,ESSFmh/110,Fdi,3,Fd,3,cd,FALSE,ESSF,imputed,limited to warm aspects; often outcompeted on these sites
ESSFmh,ESSFmh/110,Lw,3,Lw,3,cd,FALSE,ESSF,imputed,limited to warm aspects; often outcompeted on these sites
ESSFmh,ESSFmh/111,Lw,3,Lw,3,cd,FALSE,ESSF,imputed,
ESSFmh,ESSFmh/112.1,Sxw,1,Sx,1,cd,FALSE,ESSF,NA,
ESSFmh,ESSFmh/112.2,Sxw,1,Sx,2,cd,FALSE,ESSF,NA,poor aeration will limit productivity
ESSFmmp,ESSFmmp/00,Bl,3,Bl,3,cd,FALSE,ESSF,NA,
ESSFmmp,ESSFmmp/00,La,3,La,3,cd,FALSE,ESSF,imputed,
ESSFmmw,ESSFmmw/01,Bl,2,Bl,2,cd,FALSE,ESSF,NA,generally establishment and growth are more limited in this BGC unit
ESSFmmw,ESSFmmw/02,Bl,3,Bl,3,cd,FALSE,ESSF,NA,drought limits establishment
ESSFmmw,ESSFmmw/03,Bl,2,Bl,2,cd,FALSE,ESSF,NA,
ESSFmmw,ESSFmmw/04,Bl,2,Bl,2,cd,FALSE,ESSF,NA,
ESSFmmw,ESSFmmw/05,Bl,2,Bl,2,cd,FALSE,ESSF,NA,
ESSFmmw,ESSFmmw/06,Bl,2,Bl,2,cd,FALSE,ESSF,NA,
ESSFmmw,ESSFmmw/07,Bl,2,Bl,2,cd,FALSE,ESSF,NA,
ESSFmmw,ESSFmmw/01,Pli,3,Pl,5,cd,FALSE,ESSF,NA,not know to occur in  this site series possibly due to lack of fire history
ESSFmmw,ESSFmmw/02,Pli,3,Pl,5,cd,FALSE,ESSF,NA,not known to occur in this site series
ESSFmmw,ESSFmmw/03,Pli,3,Pl,3,cd,FALSE,ESSF,NA,snow press will impact establishment and growth on steeper slopes
ESSFmmw,ESSFmmw/04,Pli,3,Pl,3,cd,FALSE,ESSF,NA,
ESSFmmw,ESSFmmw/05,Pli,3,Pl,5,cd,FALSE,ESSF,NA,not known to occur in this site series
ESSFmmw,ESSFmmw/06,Pli,3,Pl,5,cd,FALSE,ESSF,NA,not known to occur in this site series
ESSFmmw,ESSFmmw/07,Pli,3,Pl,5,cd,FALSE,ESSF,NA,not known to occur in this site series
ESSFmmw,ESSFmmw/01,Sxw,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFmmw,ESSFmmw/02,Sxw,3,Sx,3,cd,FALSE,ESSF,NA,drought limits establishment
ESSFmmw,ESSFmmw/03,Sxw,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFmmw,ESSFmmw/04,Sxw,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFmmw,ESSFmmw/05,Sxw,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFmmw,ESSFmmw/06,Sxw,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFmmw,ESSFmmw/07,Sxw,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFmw,ESSFmw/08,Ba,3,Ba,3,cd,FALSE,ESSF,NA,limited establishment on poorly drained sites
ESSFmw,ESSFmw/01,Bl,1,Bl,2,cd,FALSE,ESSF,NA,may not do well on coarse-textured fluvial sites
ESSFmw,ESSFmw/02,Bl,3,Bl,3,cd,FALSE,ESSF,NA,drought limits establishment
ESSFmw,ESSFmw/03,Bl,3,Bl,3,cd,FALSE,ESSF,NA,drought limits establishment
ESSFmw,ESSFmw/04,Bl,3,Bl,2,cd,FALSE,ESSF,NA,may not do well on coarse-textured fluvial sites
ESSFmw,ESSFmw/05,Bl,2,Bl,1,cd,FALSE,ESSF,NA,no known limitations
ESSFmw,ESSFmw/06,Bl,1,Bl,1,cd,FALSE,ESSF,NA,no known limitations
ESSFmw,ESSFmw/07,Bl,1,Bl,1,cd,FALSE,ESSF,NA,no known limitations
ESSFmw,ESSFmw/08,Bl,3,Bl,2,cd,FALSE,ESSF,NA,saturated soils may limit productivity
ESSFmw,ESSFmw/03,Hm,2,Hm,2,cd,FALSE,ESSF,imputed,limited to areas close to MH zone
ESSFmw,ESSFmw/07,Hw,3,Hw,2,cd,FALSE,ESSF,NA,limited to lower elevations of the BGC unit
ESSFmw,ESSFmw/03,Lw,3,Lw,5,cd,TRUE,ESSF,NA,not know to occur in  this BGC unit
ESSFmw,ESSFmw/02,Pa,3,Pa,3,cd,FALSE,ESSF,NA,
ESSFmw,ESSFmw/03,Pa,3,Pa,3,cd,FALSE,ESSF,NA,
ESSFvc,ESSFvc/01,Bl,1,Bl,1,cd,FALSE,ESSF,NA,no known limitations
ESSFvc,ESSFvc/02,Bl,2,Bl,2,cd,FALSE,ESSF,NA,drought limits establishment
ESSFvc,ESSFvc/03,Bl,1,Bl,1,cd,FALSE,ESSF,NA,no known limitations
ESSFvc,ESSFvc/04,Bl,1,Bl,1,cd,FALSE,ESSF,NA,no known limitations
ESSFvc,ESSFvc/05,Bl,1,Bl,1,cd,FALSE,ESSF,NA,no known limitations
ESSFvc,ESSFvc/01,Cw,3,Cw,2,cd,FALSE,ESSF,imputed,limited to lower elevations of the BGC unit
ESSFvc,ESSFvc/01,Fdi,2,Fd,2,cd,FALSE,ESSF,imputed,limited to lower elevations of the BGC unit
ESSFvc,ESSFvc/01,Hm,2,Hm,1,cd,FALSE,ESSF,NA,
ESSFvc,ESSFvc/02,Hm,3,Hm,2,cd,FALSE,ESSF,NA,drought limits establishment
ESSFvc,ESSFvc/03,Hm,2,Hm,1,cd,FALSE,ESSF,NA,
ESSFvc,ESSFvc/04,Hm,2,Hm,1,cd,FALSE,ESSF,NA,
ESSFvc,ESSFvc/05,Hm,2,Hm,1,cd,FALSE,ESSF,NA,
ESSFvc,ESSFvc/01,Hw,2,Hw,2,cd,FALSE,ESSF,imputed,limited to lower elevations of the BGC unit
ESSFvc,ESSFvc/01,Pli,1,Pl,2,cd,FALSE,ESSF,imputed,snow press will impact establishment and growth on steeper slopes
ESSFvc,ESSFvc/02,Pli,4,Pl,2,cd,FALSE,ESSF,NA,snow press will impact establishment and growth on steeper slopes
ESSFvc,ESSFvc/01,Se,1,Sx,1,cd,FALSE,ESSF,NA,no known limitations
ESSFvc,ESSFvc/02,Se,2,Sx,2,cd,FALSE,ESSF,NA,may be limited by drought
ESSFvc,ESSFvc/03,Se,1,Sx,1,cd,FALSE,ESSF,NA,
ESSFvc,ESSFvc/04,Se,1,Sx,1,cd,FALSE,ESSF,NA,
ESSFvc,ESSFvc/05,Se,1,Sx,1,cd,FALSE,ESSF,NA,
ESSFvcp,ESSFvcp/00,Bl,3,Bl,3,cd,FALSE,ESSF,NA,
ESSFvcp,ESSFvcp/00,Sx,3,Sx,3,cd,FALSE,ESSF,imputed,
ESSFvcw,ESSFvcw/01,Bl,2,Bl,2,cd,FALSE,ESSF,NA,climatic conditions limits establishment
ESSFvcw,ESSFvcw/02,Bl,3,Bl,3,cd,FALSE,ESSF,NA,drought will limit establishment
ESSFvcw,ESSFvcw/03,Bl,2,Bl,2,cd,FALSE,ESSF,NA,
ESSFvcw,ESSFvcw/04,Bl,2,Bl,2,cd,FALSE,ESSF,NA,
ESSFvcw,ESSFvcw/05,Bl,2,Bl,2,cd,FALSE,ESSF,NA,
ESSFvcw,ESSFvcw/01,Hm,3,Hm,2,cd,FALSE,ESSF,NA,
ESSFvcw,ESSFvcw/02,Hm,3,Hm,3,cd,FALSE,ESSF,NA,drought will limit establishment
ESSFvcw,ESSFvcw/03,Hm,3,Hm,2,cd,FALSE,ESSF,NA,
ESSFvcw,ESSFvcw/04,Hm,3,Hm,2,cd,FALSE,ESSF,NA,
ESSFvcw,ESSFvcw/05,Hm,3,Hm,2,cd,FALSE,ESSF,NA,
ESSFvcw,ESSFvcw/02,Pli,5,Pl,5,cd,FALSE,ESSF,NA,
ESSFvcw,ESSFvcw/01,Se,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFvcw,ESSFvcw/02,Se,3,Sx,3,cd,FALSE,ESSF,NA,drought will limit establishment
ESSFvcw,ESSFvcw/03,Se,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFvcw,ESSFvcw/04,Se,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFvcw,ESSFvcw/05,Se,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFwc2,ESSFwc2/02,Fdi,3,Fd,2,cd,FALSE,ESSF,imputed,limited to lower elevations of the BGC unit
ESSFwc2,ESSFwc2/05,Hw,3,Hw,2,cd,FALSE,ESSF,imputed,limited to lower elevations of the BGC unit
ESSFwc2,ESSFwc2/01,Hw,3,Hw,2,cd,FALSE,ESSF,imputed,limited to lower elevations of the BGC unit
ESSFwc4,ESSFwc4/101,Bl,1,Bl,1,cd,FALSE,ESSF,NA,
ESSFwc4,ESSFwc4/102,Bl,2,Bl,2,cd,FALSE,ESSF,NA,may be limited by drought
ESSFwc4,ESSFwc4/103,Bl,1,Bl,1,cd,FALSE,ESSF,NA,
ESSFwc4,ESSFwc4/110,Bl,1,Bl,1,cd,FALSE,ESSF,NA,
ESSFwc4,ESSFwc4/111,Bl,1,Bl,1,cd,FALSE,ESSF,NA,
ESSFwc4,ESSFwc4/102,Cw,4,Cw,3,cd,FALSE,ESSF,imputed,limited to lower elevations of the BGC unit; may be limited by drought
ESSFwc4,ESSFwc4/103,Cw,4,Cw,2,cd,FALSE,ESSF,imputed,limited to lower elevations of the BGC unit
ESSFwc4,ESSFwc4/101,Hw,3,Hw,2,cd,FALSE,ESSF,NA,limited to lower elevations of the BGC unit
ESSFwc4,ESSFwc4/102,La,3,La,3,cd,FALSE,ESSF,NA,generally outcompeted on these sites
ESSFwc4,ESSFwc4/103,La,3,La,3,cd,FALSE,ESSF,NA,generally outcompeted on these sites
ESSFwc4,ESSFwc4/102,Pa,2,Pa,2,cd,FALSE,ESSF,NA,
ESSFwc4,ESSFwc4/103,Pa,2,Pa,2,cd,FALSE,ESSF,NA,
ESSFwc4,ESSFwc4/101,Pli,3,Pl,3,cd,FALSE,ESSF,NA,severe limitations due to vegetation competition
ESSFwc4,ESSFwc4/102,Pli,2,Pl,2,cd,FALSE,ESSF,NA,snow press will impact establishment and growth
ESSFwc4,ESSFwc4/103,Pli,2,Pl,2,cd,FALSE,ESSF,NA,snow press will impact establishment and growth
ESSFwc4,ESSFwc4/101,Se,1,Sx,1,cd,FALSE,ESSF,NA,
ESSFwc4,ESSFwc4/102,Se,2,Sx,2,cd,FALSE,ESSF,NA,may be limited by drought
ESSFwc4,ESSFwc4/103,Se,1,Sx,1,cd,FALSE,ESSF,NA,
ESSFwc4,ESSFwc4/110,Se,1,Sx,1,cd,FALSE,ESSF,NA,
ESSFwc4,ESSFwc4/111,Se,1,Sx,1,cd,FALSE,ESSF,NA,
ESSFwcp,ESSFwcp/00,Bl,3,Bl,3,cd,FALSE,ESSF,NA,
ESSFwcp,ESSFwcp/00,Ep,3,Ep,4,cd,FALSE,ESSF,imputed,at very edge of range and likely only occuring on warm aspects
ESSFwcp,ESSFwcp/00,Fdi,2,Fd,3,cd,FALSE,ESSF,imputed,
ESSFwcw,ESSFwcw/101,Bl,1,Bl,2,cd,FALSE,ESSF,NA,
ESSFwcw,ESSFwcw/102,Bl,3,Bl,2,cd,FALSE,ESSF,NA,drought limits establishment
ESSFwcw,ESSFwcw/103,Bl,1,Bl,2,cd,FALSE,ESSF,NA,
ESSFwcw,ESSFwcw/104,Bl,1,Bl,2,cd,FALSE,ESSF,NA,
ESSFwcw,ESSFwcw/110,Bl,1,Bl,2,cd,FALSE,ESSF,NA,
ESSFwcw,ESSFwcw/102,La,3,La,3,cd,FALSE,ESSF,NA,drought and low nutrients limit establishment
ESSFwcw,ESSFwcw/103,La,3,La,3,cd,FALSE,ESSF,NA,drought and low nutrients limit establishment
ESSFwcw,ESSFwcw/104,La,3,La,2,cd,FALSE,ESSF,NA,
ESSFwcw,ESSFwcw/101,Pa,3,Pa,4,cd,FALSE,ESSF,NA,generally does not establish on these sites
ESSFwcw,ESSFwcw/102,Pa,2,Pa,2,cd,FALSE,ESSF,NA,
ESSFwcw,ESSFwcw/103,Pa,2,Pa,3,cd,FALSE,ESSF,NA,
ESSFwcw,ESSFwcw/104,Pa,3,Pa,4,cd,FALSE,ESSF,NA,generally does not establish on these sites
ESSFwcw,ESSFwcw/103,Pli,3,Pl,4,cd,FALSE,ESSF,imputed,at very edge of range
ESSFwcw,ESSFwcw/102,Pli,3,Pl,4,cd,FALSE,ESSF,NA,at very edge of range
ESSFwcw,ESSFwcw/101,Se,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFwcw,ESSFwcw/102,Se,3,Sx,3,cd,FALSE,ESSF,NA,drought limits establishment
ESSFwcw,ESSFwcw/103,Se,2,Sx,3,cd,FALSE,ESSF,NA,drought limits establishment
ESSFwcw,ESSFwcw/104,Se,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFwcw,ESSFwcw/110,Se,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFwh1,ESSFwh1/101,Act,3,Ac,2,cd,FALSE,ESSF,NA,limited to lower elevatons of this BGC unit on warm aspects
ESSFwh1,ESSFwh1/110,Act,2,Ac,2,cd,FALSE,ESSF,NA,limited to lower elevations of this BGC unit on warm aspects
ESSFwh1,ESSFwh1/101,At,3,At,2,cd,FALSE,ESSF,NA,limited to lower elevations of this BGC unit on warm aspects
ESSFwh1,ESSFwh1/101,Bl,2,Bl,1,cd,FALSE,ESSF,NA,
ESSFwh1,ESSFwh1/102,Bl,3,Bl,2,cd,FALSE,ESSF,NA,drought limits establishment
ESSFwh1,ESSFwh1/103,Bl,2,Bl,1,cd,FALSE,ESSF,NA,
ESSFwh1,ESSFwh1/104,Bl,2,Bl,1,cd,FALSE,ESSF,NA,
ESSFwh1,ESSFwh1/110,Bl,2,Bl,1,cd,FALSE,ESSF,NA,
ESSFwh1,ESSFwh1/101,Cw,2,Cw,2,cd,FALSE,ESSF,NA,limited to lower elevations of this BGC unit
ESSFwh1,ESSFwh1/103,Cw,3,Cw,3,cd,FALSE,ESSF,NA,limited to lower elevations of this BGC unit
ESSFwh1,ESSFwh1/104,Cw,3,Cw,3,cd,FALSE,ESSF,NA,limited to lower elevations of this BGC unit
ESSFwh1,ESSFwh1/110,Cw,2,Cw,2,cd,FALSE,ESSF,NA,limited to lower elevations of this BGC unit
ESSFwh1,ESSFwh1/101,Fdi,3,Fd,3,cd,FALSE,ESSF,NA,limited to warm aspects on coarse soils in this site series
ESSFwh1,ESSFwh1/102,Fdi,2,Fd,5,cd,FALSE,ESSF,NA,absent from this site series
ESSFwh1,ESSFwh1/103,Fdi,1,Fd,2,cd,FALSE,ESSF,NA,may have an upper elevation limit in this site series
ESSFwh1,ESSFwh1/104,Fdi,2,Fd,2,cd,FALSE,ESSF,NA,limited to warm aspects on coarse soils in this site series
ESSFwh1,ESSFwh1/101,Hw,1,Hw,2,cd,FALSE,ESSF,NA,may have an upper elevation limit in this site series
ESSFwh1,ESSFwh1/104,Hw,1,Hw,2,cd,FALSE,ESSF,NA,may have an upper elevation limit in this site series
ESSFwh1,ESSFwh1/110,Hw,3,Hw,3,cd,FALSE,ESSF,NA,cold soils may limit establishment
ESSFwh1,ESSFwh1/101,Lw,3,Lw,3,cd,FALSE,ESSF,NA,
ESSFwh1,ESSFwh1/103,Lw,2,Lw,2,cd,FALSE,ESSF,NA,limited to lower elevations of this BGC unit
ESSFwh1,ESSFwh1/104,Lw,2,Lw,2,cd,FALSE,ESSF,NA,limited to lower elevations of this BGC unit
ESSFwh1,ESSFwh1/102,Pa,3,Pa,2,cd,FALSE,ESSF,NA,
ESSFwh1,ESSFwh1/103,Pa,3,Pa,4,cd,FALSE,ESSF,NA,generally outcompeted on these sites
ESSFwh1,ESSFwh1/104,Pa,3,Pa,4,cd,FALSE,ESSF,NA,generally outcompeted on these sites
ESSFwh1,ESSFwh1/101,Pli,3,Pl,4,cd,FALSE,ESSF,NA,generally outcompeted on these sites
ESSFwh1,ESSFwh1/102,Pli,3,Pl,2,cd,FALSE,ESSF,NA,limited to lower elevations on this BGC unit; snow press will limit productivity on steep slopes
ESSFwh1,ESSFwh1/103,Pli,2,Pl,2,cd,FALSE,ESSF,NA,limited to lower elevations on this BGC unit; snow press will limit productivity on steep slopes
ESSFwh1,ESSFwh1/104,Pli,3,Pl,2,cd,FALSE,ESSF,NA,blister rust will limit establishment
ESSFwh1,ESSFwh1/101,Pw,4,Pw,4,cd,FALSE,ESSF,NA,at edge of suitability; may be suitable at lower elevations
ESSFwh1,ESSFwh1/103,Pw,3,Pw,3,cd,FALSE,ESSF,NA,at edge of suitability; may be suitable at lower elevations
ESSFwh1,ESSFwh1/104,Pw,3,Pw,3,cd,FALSE,ESSF,NA,at edge of suitability; may be suitable at lower elevations
ESSFwh1,ESSFwh1/101,Se,1,Sx,1,cd,FALSE,ESSF,NA,
ESSFwh1,ESSFwh1/102,Se,2,Sx,2,cd,FALSE,ESSF,NA,drought limits establishment
ESSFwh1,ESSFwh1/103,Se,2,Sx,2,cd,FALSE,ESSF,NA,drought limits establishment
ESSFwh1,ESSFwh1/104,Se,2,Sx,1,cd,FALSE,ESSF,NA,
ESSFwh1,ESSFwh1/110,Se,1,Sx,1,cd,FALSE,ESSF,NA,
ESSFwh2,ESSFwh2/101,Act,3,Ac,3,cd,FALSE,ESSF,NA,may occur at lower edge of this BGC unit on warm aspects
ESSFwh2,ESSFwh2/110,Act,2,Ac,3,cd,FALSE,ESSF,NA,may occur at lower edge of this BGC unit on warm aspects
ESSFwh2,ESSFwh2/111,Act,2,Ac,3,cd,FALSE,ESSF,NA,may occur at lower edge of this BGC unit on warm aspects
ESSFwh2,ESSFwh2/101,At,3,At,3,cd,FALSE,ESSF,NA,may occur at lower edge of this BGC unit on warm aspects
ESSFwh2,ESSFwh2/101,Bl,2,Bl,1,cd,FALSE,ESSF,NA,
ESSFwh2,ESSFwh2/102,Bl,2,Bl,2,cd,FALSE,ESSF,NA,drought limits establishment
ESSFwh2,ESSFwh2/103,Bl,2,Bl,1,cd,FALSE,ESSF,NA,
ESSFwh2,ESSFwh2/104,Bl,1,Bl,1,cd,FALSE,ESSF,NA,
ESSFwh2,ESSFwh2/110,Bl,1,Bl,1,cd,FALSE,ESSF,NA,
ESSFwh2,ESSFwh2/111,Bl,1,Bl,1,cd,FALSE,ESSF,NA,
ESSFwh2,ESSFwh2/101,Cw,3,Cw,3,cd,FALSE,ESSF,NA,generally outcompeted on these sites
ESSFwh2,ESSFwh2/104,Cw,3,Cw,4,cd,FALSE,ESSF,NA,generally not found in this site series
ESSFwh2,ESSFwh2/110,Cw,3,Cw,3,cd,FALSE,ESSF,NA,generally outcompeted on these sites
ESSFwh2,ESSFwh2/111,Cw,3,Cw,4,cd,FALSE,ESSF,NA,generally not found in this site series
ESSFwh2,ESSFwh2/101,Fdi,3,Fd,4,cd,FALSE,ESSF,NA,generally not found in this site series
ESSFwh2,ESSFwh2/102,Fdi,3,Fd,4,cd,FALSE,ESSF,NA,generally not found in this site series
ESSFwh2,ESSFwh2/103,Fdi,2,Fd,2,cd,FALSE,ESSF,NA,may be limited to lower elevations of this unit
ESSFwh2,ESSFwh2/104,Fdi,3,Fd,4,cd,FALSE,ESSF,NA,generally not found in this site series
ESSFwh2,ESSFwh2/101,Hw,2,Hw,2,cd,FALSE,ESSF,NA,establishment and growth restricted at higher elevations
ESSFwh2,ESSFwh2/102,Hw,3,Hw,4,cd,FALSE,ESSF,NA,generally not found in this site series
ESSFwh2,ESSFwh2/103,Hw,3,Hw,4,cd,FALSE,ESSF,NA,generally not found in this site series
ESSFwh2,ESSFwh2/104,Hw,3,Hw,2,cd,FALSE,ESSF,NA,establishment and growth restricted at higher elevations
ESSFwh2,ESSFwh2/110,Hw,3,Hw,4,cd,FALSE,ESSF,NA,generally not found in this site series
ESSFwh2,ESSFwh2/111,Hw,3,Hw,4,cd,FALSE,ESSF,NA,generally not found in this site series
ESSFwh2,ESSFwh2/101,Lw,3,Lw,5,cd,FALSE,ESSF,NA,not known to occur; environmental limitations unknown
ESSFwh2,ESSFwh2/103,Lw,3,Lw,5,cd,FALSE,ESSF,NA,not known to occur; environmental limitations unknown
ESSFwh2,ESSFwh2/104,Lw,3,Lw,5,cd,FALSE,ESSF,NA,not known to occur; environmental limitations unknown
ESSFwh2,ESSFwh2/102,Pa,3,Pa,2,cd,FALSE,ESSF,NA,drought may limit establishment
ESSFwh2,ESSFwh2/103,Pa,3,Pa,4,cd,FALSE,ESSF,NA,generally outcompeted on these sites
ESSFwh2,ESSFwh2/101,Pli,3,Pl,4,cd,FALSE,ESSF,NA,
ESSFwh2,ESSFwh2/102,Pli,2,Pl,2,cd,FALSE,ESSF,NA,snow press will impact establishment and growth
ESSFwh2,ESSFwh2/103,Pli,2,Pl,2,cd,FALSE,ESSF,NA,snow press will impact establishment and growth
ESSFwh2,ESSFwh2/104,Pli,3,Pl,4,cd,FALSE,ESSF,NA,generally not found in this site series
ESSFwh2,ESSFwh2/101,Pw,3,Pw,5,cd,FALSE,ESSF,NA,not known to occur; environmental limitations unknown
ESSFwh2,ESSFwh2/102,Pw,5,Pw,5,cd,FALSE,ESSF,NA,not known to occur; environmental limitations unknown
